,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-31,BUY,AAPL,12739,78.49657440185547,32.138694763183594
1,2020-02-26,SELL,AAPL,12739,69.98783874511719,891607.216468811
2,2020-02-28,BUY,AAPL,13333,66.4505386352539,5622.184844970703
3,2020-02-28,BUY,TSLA,123,45.266666412353516,54.3848762512207
4,2020-03-10,SELL,TSLA,123,40.53333282470703,5039.984813690186
5,2020-03-17,SELL,AAPL,13333,58.84391784667969,789605.9414634705
6,2020-03-31,BUY,AAPL,10489,61.90503692626953,140284.00914382935
7,2020-03-31,BUY,TSLA,4190,33.47533416748047,22.35898208618164
8,2020-04-30,SELL,TSLA,373,53.367332458496094,19928.373989105225
9,2020-04-30,BUY,AAPL,285,69.90281677246094,6.071208953857422
10,2020-05-29,SELL,TSLA,1476,53.72066879272461,79297.77834701538
11,2020-05-29,BUY,AAPL,1022,77.52680206298828,65.38663864135742
12,2020-06-30,SELL,TSLA,2340,67.29000091552734,157523.98878097534
13,2020-06-30,BUY,AAPL,1787,88.13087463378906,34.11581039428711
14,2020-07-31,BUY,AAPL,0,93.72888946533203,34.11581039428711
15,2020-08-31,SELL,TSLA,1,147.55999755859375,181.67580795288086
16,2020-08-31,BUY,AAPL,1,121.83344268798828,59.84236526489258
17,2020-09-12,SELL,AAPL,13584,109.33114624023438,1485214.1328926086
18,2020-09-30,BUY,AAPL,13335,111.37132263183594,77.54559707641602
19,2020-12-31,SELL,AAPL,1851,130.75875854492188,242112.0076637268
20,2020-12-31,BUY,MSFT,1129,214.27987670898438,190.02685928344727
21,2021-01-29,SELL,AAPL,9001,134.05413818359375,1206811.3246498108
22,2021-01-29,BUY,MSFT,5225,230.95407104492188,76.30344009399414
23,2021-02-26,SELL,MSFT,3460,221.8556671142578,767696.911655426
24,2021-02-26,BUY,AAPL,6479,118.48747253417969,16.577106475830078
25,2021-03-31,SELL,AAPL,7199,117.42000579833984,845323.1988487244
26,2021-03-31,BUY,MSFT,3763,224.62655639648438,53.46712875366211
27,2021-04-30,SELL,MSFT,5247,244.6428985595703,1283694.755870819
28,2021-04-30,BUY,AAPL,9820,130.71913146972656,32.88483810424805
29,2021-05-31,SELL,MSFT,1409,242.45962524414062,341658.4968070984
30,2021-05-31,BUY,AAPL,2794,122.2398681640625,120.30515670776367
31,2021-06-30,BUY,AAPL,0,133.73696899414062,120.30515670776367
32,2021-07-30,BUY,AAPL,0,142.86985778808594,120.30515670776367
33,2021-08-31,SELL,MSFT,1,295.375,415.6801567077637
34,2021-08-31,BUY,AAPL,2,150.43264770507812,114.81486129760742
35,2022-01-31,SELL,AAPL,691,167.5848388671875,115915.93851852417
36,2022-01-31,BUY,META,385,300.5618591308594,199.62275314331055
37,2022-02-04,SELL,META,385,236.855224609375,91388.88422775269
38,2022-02-28,SELL,AAPL,1989,162.39981079101562,414402.10789108276
39,2022-02-28,BUY,META,1976,209.67904663085938,76.31174850463867
40,2022-03-08,SELL,META,1976,186.75660705566406,369107.3672904968
41,2022-03-31,SELL,AAPL,132,175.1277618408203,392224.2318534851
42,2022-03-31,BUY,META,1727,226.98294067382812,224.69330978393555
43,2022-04-21,SELL,META,1727,199.65733337402344,345032.9080467224
44,2022-04-29,BUY,AAPL,121,161.20779418945312,325526.7649497986
45,2022-04-29,BUY,META,1588,204.94711303710938,70.74944686889648
46,2022-05-12,SELL,AAPL,11688,144.53457641601562,1689390.8785972595
47,2022-05-25,SELL,META,1588,180.59014892578125,1976168.0350914001
48,2022-05-31,BUY,AAPL,12104,147.6324462890625,189224.90520858765
49,2022-05-31,BUY,META,973,194.387451171875,85.91521835327148
50,2022-06-11,SELL,META,973,174.90188598632812,170265.45028305054
51,2022-06-14,SELL,AAPL,12104,130.11074829101562,1745125.9475975037
52,2022-06-30,BUY,AAPL,12222,137.36212158203125,66286.09762191772
53,2022-06-30,BUY,META,405,163.31614685058594,143.05814743041992
54,2022-07-29,SELL,META,255,160.1083984375,40970.69974899292
55,2022-07-29,BUY,AAPL,263,155.23902893066406,142.83514022827148
56,2022-08-31,SELL,AAPL,9,156.99588012695312,1555.7980613708496
57,2022-08-31,BUY,META,9,156.5619659423828,146.7403678894043
58,2022-09-24,SELL,META,159,139.8756866455078,22386.974544525146
59,2022-09-30,BUY,AAPL,159,140.76376342773438,5.536159515380859
60,2022-12-29,SELL,AAPL,12635,124.72836303710938,1575948.4031333923
61,2022-12-30,BUY,AAPL,12287,128.26123046875,2.6643638610839844
62,2024-04-30,SELL,AAPL,369,172.8744659423828,63793.34229660034
63,2024-04-30,BUY,META,147,431.43096923828125,372.98981857299805
64,2024-05-31,SELL,AAPL,1679,190.85885620117188,320825.0093803406
65,2024-05-31,BUY,META,198,465.7663269042969,228603.2766532898
66,2024-05-31,BUY,TSLA,1277,178.7899932861328,288.45522689819336
67,2024-06-28,SELL,AAPL,2358,213.61746215820312,503998.43099594116
68,2024-06-28,BUY,META,189,518.646484375,405974.24544906616
69,2024-06-28,BUY,TSLA,2054,197.4199981689453,473.56921005249023
70,2024-07-18,SELL,META,534,461.17767333984375,246742.44677352905
71,2024-07-31,SELL,TSLA,993,222.6199951171875,467804.10192489624
