,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-03,BUY,AAPL,3434,72.79601287841797,750018.4917755127
1,2020-01-03,BUY,AMZN,2634,94.90049743652344,500050.58152770996
2,2020-01-03,BUY,META,1196,208.981689453125,250108.48094177246
3,2020-01-03,BUY,MSFT,1627,153.6306915283203,151.3458251953125
4,2020-01-04,SELL,META,5,207.8759307861328,1190.7254791259766
5,2020-01-04,BUY,AMZN,6,93.74849700927734,628.2344970703125
6,2020-01-04,BUY,MSFT,4,151.71771240234375,21.3636474609375
7,2020-01-07,SELL,AMZN,9,95.14399719238281,877.6596221923828
8,2020-01-07,SELL,META,9,211.7909698486328,2783.778350830078
9,2020-01-07,BUY,AAPL,10,72.66271209716797,2057.1512298583984
10,2020-01-07,BUY,MSFT,13,152.10987854003906,79.72280883789062
11,2020-01-08,SELL,AMZN,12,95.34300231933594,1223.8388366699219
12,2020-01-08,SELL,META,5,212.24920654296875,2285.0848693847656
13,2020-01-08,BUY,AAPL,8,72.32098388671875,1706.5169982910156
14,2020-01-08,BUY,MSFT,11,150.72299194335938,48.5640869140625
15,2020-01-09,SELL,AAPL,25,73.48432922363281,1885.6723175048828
16,2020-01-09,SELL,META,2,214.4010009765625,2314.474319458008
17,2020-01-09,SELL,MSFT,10,153.12376403808594,3845.711959838867
18,2020-01-09,BUY,AMZN,40,94.59850311279297,61.77183532714844
19,2020-01-10,SELL,AAPL,27,75.04521179199219,2087.9925537109375
20,2020-01-10,SELL,META,1,217.46929931640625,2305.4618530273438
21,2020-01-10,BUY,AMZN,24,95.05249786376953,24.201904296875
22,2020-01-11,SELL,AAPL,18,75.21485900878906,1378.0693664550781
23,2020-01-11,SELL,META,3,217.23019409179688,2029.7599487304688
24,2020-01-11,BUY,AMZN,17,94.15799713134766,429.0739974975586
25,2020-01-11,BUY,MSFT,2,154.31939697265625,120.4352035522461
26,2020-01-14,SELL,AAPL,25,76.82178497314453,2040.9798278808594
27,2020-01-14,SELL,META,4,221.0655517578125,2925.2420349121094
28,2020-01-14,BUY,AMZN,26,94.56500244140625,466.5519714355469
29,2020-01-14,BUY,MSFT,2,156.17495727539062,154.20205688476562
30,2020-01-15,SELL,MSFT,5,155.0749969482422,929.5770416259766
31,2020-01-15,BUY,AAPL,7,75.78443908691406,399.0859680175781
32,2020-01-15,BUY,AMZN,1,93.47200012207031,305.6139678955078
33,2020-01-15,BUY,META,1,218.22637939453125,87.38758850097656
