,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-31,BUY,AAPL,3445,78.49656677246094,729579.3274688721
1,2020-01-31,BUY,AMZN,7799,93.53399658203125,107.68812561035156
2,2020-02-26,SELL,AAPL,3445,69.98783874511719,241215.79260253906
3,2020-02-28,SELL,AMZN,7205,94.21499633789062,920034.841217041
4,2020-02-28,BUY,AAPL,13845,66.45054626464844,27.028182983398438
5,2020-03-13,SELL,AMZN,594,83.83049774169922,49822.343841552734
6,2020-03-17,SELL,AAPL,13845,58.84391403198242,864516.3336143494
7,2020-03-31,BUY,AAPL,4087,61.90503692626953,611510.4476966858
8,2020-03-31,BUY,AMZN,6227,98.19750213623047,34.60189437866211
9,2020-04-30,SELL,AMZN,3326,118.635498046875,394616.2683982849
10,2020-04-30,BUY,AAPL,5645,69.90281677246094,14.867717742919922
11,2020-05-29,SELL,AMZN,1521,120.05500030517578,182618.52318191528
12,2020-05-29,BUY,AAPL,2355,77.52680206298828,42.90432357788086
13,2020-06-30,SELL,AMZN,1379,134.0189971923828,184855.10145187378
14,2020-06-30,BUY,AAPL,2097,88.13087463378906,44.657344818115234
15,2020-07-31,SELL,AMZN,1,152.593994140625,197.25133895874023
16,2020-07-31,BUY,AAPL,2,93.72889709472656,9.79354476928711
17,2020-12-31,SELL,AAPL,1969,130.75877380371094,257473.81916427612
18,2020-12-31,BUY,MSFT,1201,214.27987670898438,123.68723678588867
19,2021-01-29,SELL,AAPL,9575,134.05416870117188,1283692.3525505066
20,2021-01-29,BUY,MSFT,5558,230.95407104492188,49.62568283081055
21,2021-02-26,SELL,MSFT,5755,221.85568237304688,1276829.0777397156
22,2021-02-26,BUY,AAPL,4954,118.48746490478516,689842.1766014099
23,2021-02-26,BUY,AMZN,4512,152.85800170898438,146.8728904724121
24,2021-03-31,SELL,AAPL,7595,117.4200210571289,891951.9328193665
25,2021-03-31,BUY,AMZN,5789,152.76449584960938,7598.266345977783
26,2021-03-31,BUY,MSFT,33,224.62657165527344,185.58948135375977
27,2021-04-30,SELL,AAPL,1,130.71910095214844,316.3085823059082
28,2021-04-30,SELL,MSFT,1036,244.64288330078125,253766.33568191528
29,2021-04-30,BUY,AMZN,1462,173.5655059814453,13.565937042236328
30,2021-05-31,BUY,AMZN,0,161.15350341796875,13.565937042236328
31,2021-06-30,BUY,AMZN,0,172.40699768066406,13.565937042236328
32,2021-07-30,SELL,AMZN,2190,179.99600219726562,394204.81074905396
33,2021-07-30,BUY,AAPL,2759,142.869873046875,26.831012725830078
34,2021-08-31,SELL,AAPL,2134,150.43267822265625,321050.16633987427
35,2021-08-31,BUY,AMZN,1876,171.07850646972656,106.88820266723633
36,2021-09-30,SELL,AAPL,528,140.32325744628906,74197.56813430786
37,2021-09-30,BUY,AMZN,449,165.05599975585938,87.42424392700195
38,2021-10-29,SELL,AMZN,276,172.32850646972656,47650.09202957153
39,2021-10-29,SELL,MSFT,1,315.5732727050781,47965.66530227661
40,2021-10-29,BUY,AAPL,320,149.89231872558594,0.12331008911132812
41,2021-12-31,SELL,AAPL,416,175.32798767089844,72936.56618118286
42,2021-12-31,BUY,AMZN,432,168.64450073242188,82.14186477661133
43,2022-01-21,SELL,AMZN,12054,151.66749572753906,1828282.1353645325
44,2022-01-31,BUY,AAPL,1356,167.5848388671875,1601037.0938606262
45,2022-01-31,BUY,AMZN,11119,143.97799682617188,145.74715042114258
46,2022-02-28,SELL,AMZN,1233,153.7884979248047,189766.96509170532
47,2022-02-28,BUY,AAPL,1168,162.3998260498047,83.96826553344727
48,2022-03-31,SELL,AMZN,1169,166.30099487304688,194489.83127212524
49,2022-03-31,BUY,AAPL,1110,175.1277618408203,98.01562881469727
50,2022-04-27,SELL,AAPL,3635,154.46945190429688,561594.4733009338
51,2022-04-29,SELL,AMZN,488,144.59649658203125,632157.5636329651
52,2022-04-29,BUY,AAPL,3921,161.20777893066406,61.86244583129883
53,2022-04-30,SELL,AMZN,8229,124.28150177001953,1022774.340511322
54,2022-05-12,SELL,AAPL,3921,144.5345916748047,1589494.4744682312
55,2022-05-31,BUY,AAPL,6896,147.63247680664062,571420.9144096375
56,2022-05-31,BUY,AMZN,4962,115.14649963378906,63.98322677612305
57,2022-06-14,SELL,AAPL,6896,130.11074829101562,897307.7034416199
58,2022-06-15,SELL,AMZN,4962,102.30999755859375,1404969.911327362
59,2022-06-30,BUY,AAPL,8526,137.36212158203125,233820.46271896362
60,2022-06-30,BUY,AMZN,2145,108.91999816894531,187.06664657592773
61,2022-07-29,SELL,AMZN,1232,122.27999877929688,150836.02514266968
62,2022-07-29,BUY,AAPL,971,155.23902893066406,98.92805099487305
63,2022-08-31,SELL,AMZN,23,128.72999572753906,3059.7179527282715
64,2022-08-31,BUY,AAPL,19,156.99586486816406,76.7965202331543
65,2022-09-30,SELL,AAPL,9516,140.76377868652344,1339584.9145011902
66,2022-09-30,SELL,AMZN,890,114.80000305175781,1441756.9172172546
67,2022-10-31,BUY,AAPL,9370,153.8640594482422,50.6801872253418
68,2022-11-04,SELL,AAPL,9370,137.2071533203125,1285681.7067985535
69,2022-11-30,BUY,AAPL,9203,139.70091247558594,14.209285736083984
70,2022-12-29,SELL,AAPL,9203,124.72837829589844,1147889.4747428894
71,2022-12-30,BUY,AAPL,8949,128.26121520996094,79.85982894897461
72,2023-04-28,SELL,AAPL,1343,166.9119110107422,224242.55631637573
73,2023-04-28,BUY,AMZN,2041,109.81999969482422,99.93693923950195
74,2023-05-31,SELL,AAPL,1358,175.96588134765625,239061.6038093567
75,2023-05-31,BUY,AMZN,1964,121.66000366210938,121.35661697387695
76,2023-06-30,SELL,AAPL,853,188.1633758544922,160624.7162208557
77,2023-06-30,BUY,AMZN,1255,127.9000015258789,110.21430587768555
78,2023-07-31,SELL,AAPL,2142,194.3564453125,416421.7201652527
79,2023-07-31,BUY,AMZN,3149,132.2100067138672,92.40902328491211
80,2023-08-31,SELL,AAPL,1684,186.48947143554688,314140.67892074585
81,2023-08-31,BUY,AMZN,2325,135.07000732421875,102.91189193725586
82,2023-09-29,SELL,AMZN,291,125.9800033569336,36763.09286880493
83,2023-09-29,BUY,AAPL,216,169.63438415527344,122.06589126586914
84,2023-10-26,SELL,AMZN,10443,121.38999938964844,1267797.8295173645
85,2023-10-31,BUY,AAPL,1038,169.23681640625,1092130.014087677
86,2023-10-31,BUY,AMZN,8229,132.7100067138672,59.368839263916016
87,2023-11-30,SELL,AMZN,3160,146.32000732421875,462430.59198379517
88,2023-11-30,BUY,AAPL,2453,188.44679260253906,170.6097297668457
89,2023-12-29,SELL,AMZN,3115,153.3800048828125,477949.3249397278
90,2023-12-29,BUY,AAPL,2481,192.63626098632812,18.761432647705078
91,2024-01-31,SELL,AMZN,1953,159.0,310545.7614326477
92,2024-01-31,BUY,AAPL,1659,187.12326049804688,108.27226638793945
93,2024-02-29,SELL,AMZN,1,173.16000366210938,281.4322700500488
94,2024-02-29,BUY,AAPL,1,180.7659149169922,100.66635513305664
95,2024-03-29,SELL,AAPL,230,170.86175537109375,39398.87009048462
96,2024-03-29,BUY,AMZN,218,180.3800048828125,76.02902603149414
97,2024-04-30,SELL,AAPL,1378,172.8744659423828,238297.043094635
98,2024-04-30,BUY,AMZN,1316,180.9600067138672,153.67425918579102
99,2024-05-31,SELL,AAPL,169,190.85885620117188,32408.820957183838
100,2024-05-31,BUY,AMZN,180,179.32000732421875,131.2196388244629
101,2024-06-28,SELL,AMZN,98,197.85000610351562,19520.520236968994
102,2024-06-28,BUY,AAPL,91,213.61746215820312,81.33118057250977
103,2024-07-31,SELL,AAPL,614,218.30685424804688,134121.7396888733
104,2024-07-31,BUY,AMZN,738,181.7100067138672,19.75473403930664
105,2024-08-06,SELL,AMZN,2354,161.02000427246094,379060.84479141235
106,2024-08-30,SELL,AAPL,1739,229.53746032714844,778226.4883003235
107,2024-08-30,BUY,AMZN,4521,172.1199951171875,71.99037551879883
108,2024-09-30,SELL,AAPL,1108,227.53965759277344,252185.93098831177
109,2024-09-30,BUY,AMZN,1341,187.97000122070312,118.15935134887695
110,2024-10-31,SELL,AAPL,1951,229.8471221923828,448549.89474868774
111,2024-10-31,BUY,AMZN,2327,192.72999572753906,67.1946907043457
112,2024-11-29,SELL,AAPL,764,234.92999267578125,179553.70909500122
113,2024-11-29,BUY,AMZN,872,205.74000549316406,148.4243049621582
114,2024-12-31,SELL,AAPL,1555,252.1999969482422,392319.41955947876
115,2024-12-31,SELL,AMZN,3335,221.3000030517578,1130354.929737091
116,2024-12-31,BUY,MSFT,2660,424.8299865722656,307.16545486450195
