,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-31,BUY,AAPL,2282,78.49658203125,820870.7998046875
1,2020-01-31,BUY,AMZN,8115,93.53399658203125,61842.417541503906
2,2020-01-31,BUY,TSLA,1446,42.72066879272461,68.3304672241211
3,2020-02-26,SELL,AAPL,2282,69.98782348632812,159780.5436630249
4,2020-02-28,SELL,AMZN,7513,94.21499633789062,867617.8111495972
5,2020-02-28,SELL,TSLA,1445,45.266666412353516,933028.144115448
6,2020-02-28,BUY,AAPL,14040,66.45053100585938,62.68879318237305
7,2020-03-13,SELL,AMZN,602,83.83049774169922,50528.6484336853
8,2020-03-13,SELL,TSLA,1,37.369998931884766,50566.01843261719
9,2020-03-17,SELL,AAPL,14040,58.84391403198242,876734.5714416504
10,2020-03-31,BUY,AAPL,4144,61.90503692626953,620200.0984191895
11,2020-03-31,BUY,AMZN,6315,98.19750213623047,82.87242889404297
12,2020-04-30,SELL,AMZN,3373,118.635498046875,400240.4073410034
13,2020-04-30,BUY,AAPL,5725,69.9028091430664,46.82499694824219
14,2020-05-29,SELL,AMZN,1543,120.05500030517578,185291.69046783447
15,2020-05-29,BUY,AAPL,2390,77.52681732177734,2.5970687866210938
16,2020-06-30,SELL,AMZN,1399,134.0189971923828,187495.17414093018
17,2020-06-30,BUY,AAPL,2127,88.13086700439453,40.82002258300781
18,2021-02-26,SELL,AAPL,6459,118.4874496459961,765351.2572860718
19,2021-02-26,BUY,AMZN,5006,152.85800170898438,144.1007308959961
20,2021-03-31,SELL,AAPL,7926,117.42002868652344,930815.2481002808
21,2021-03-31,BUY,AMZN,6093,152.76449584960938,21.174888610839844
22,2021-04-30,SELL,AAPL,1,130.7191619873047,151.89405059814453
23,2021-07-30,SELL,AMZN,2067,179.99600219726562,372203.6305923462
24,2021-07-30,BUY,AAPL,2605,142.86988830566406,27.571556091308594
25,2021-08-31,SELL,AAPL,2015,150.43267822265625,303149.41817474365
26,2021-08-31,BUY,AMZN,1771,171.07850646972656,169.38321685791016
27,2021-09-30,SELL,AAPL,498,140.3232421875,70050.35782623291
28,2021-09-30,BUY,AMZN,424,165.05599975585938,66.61392974853516
29,2021-10-29,SELL,AMZN,262,172.32850646972656,45216.682624816895
30,2021-10-29,BUY,AAPL,301,149.89230346679688,99.09928131103516
31,2021-11-30,BUY,AAPL,0,157.65745544433594,99.09928131103516
32,2021-12-31,SELL,AAPL,392,175.3280029296875,68827.67642974854
33,2021-12-31,BUY,AMZN,408,168.64450073242188,20.720130920410156
34,2022-01-21,SELL,AMZN,11373,151.66749572753906,1724935.1490402222
35,2022-01-31,BUY,AAPL,1279,167.58482360839844,1510594.1596450806
36,2022-01-31,BUY,AMZN,10491,143.97799682617188,120.99494171142578
37,2022-02-28,SELL,AMZN,1163,153.7884979248047,178977.01802825928
38,2022-02-28,BUY,AAPL,1102,162.39979553222656,12.443351745605469
39,2022-03-31,SELL,AMZN,1104,166.30099487304688,183608.74169158936
40,2022-03-31,BUY,AAPL,1048,175.12777709960938,74.83129119873047
41,2022-04-27,SELL,AAPL,3430,154.46946716308594,529905.1036605835
42,2022-04-29,SELL,AMZN,460,144.59649658203125,596419.4920883179
43,2022-04-29,BUY,AAPL,3699,161.207763671875,111.9742660522461
44,2022-04-30,SELL,AMZN,7764,124.28150177001953,965033.5540084839
45,2022-05-12,SELL,AAPL,3699,144.53457641601562,1499666.9521713257
46,2022-05-31,BUY,AAPL,6506,147.6324920654297,539169.9587936401
47,2022-05-31,BUY,AMZN,4681,115.14649963378906,169.19400787353516
48,2022-06-14,SELL,AAPL,6506,130.1107177734375,846669.5238418579
49,2022-06-15,SELL,AMZN,4681,102.30999755859375,1325582.6224136353
50,2022-06-30,BUY,AAPL,8044,137.3621063232422,220641.8391494751
51,2022-06-30,BUY,AMZN,2024,108.91999816894531,187.76285552978516
52,2022-07-29,SELL,AMZN,1163,122.27999877929688,142399.40143585205
53,2022-07-29,BUY,AAPL,917,155.239013671875,45.22589874267578
54,2022-08-31,SELL,AMZN,22,128.72999572753906,2877.285804748535
55,2022-08-31,BUY,AAPL,18,156.99588012695312,51.359962463378906
56,2022-09-30,SELL,AAPL,8979,140.76377868652344,1263969.3287887573
57,2022-09-30,SELL,AMZN,838,114.80000305175781,1360171.7313461304
58,2022-10-31,BUY,AAPL,8840,153.86404418945312,13.580711364746094
59,2022-11-02,SELL,AMZN,1,96.79000091552734,110.37071228027344
60,2022-11-04,SELL,AAPL,8840,137.20713806152344,1213021.4711761475
61,2022-11-30,BUY,AAPL,8682,139.70091247558594,138.14906311035156
62,2022-12-29,SELL,AAPL,8682,124.7283706665039,1083029.8631896973
63,2022-12-30,BUY,AAPL,8443,128.26121520996094,120.42317199707031
64,2023-04-28,SELL,AAPL,1267,166.91189575195312,211597.79508972168
65,2023-04-28,BUY,AMZN,1926,109.81999969482422,84.47567749023438
