,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-31,BUY,AAPL,12739,78.49657440185547,32.138694763183594
1,2020-02-26,SELL,AAPL,12739,69.98783874511719,891607.216468811
2,2020-02-28,BUY,AAPL,13333,66.45054626464844,5622.083122253418
3,2020-02-28,BUY,TSLA,123,45.266666412353516,54.28315353393555
4,2020-03-10,SELL,TSLA,123,40.53333282470703,5039.8830909729
5,2020-03-17,SELL,AAPL,13333,58.84391403198242,789605.7888793945
6,2020-03-31,BUY,AAPL,10489,61.905029296875,140283.93658447266
7,2020-03-31,BUY,TSLA,4190,33.47533416748047,22.286422729492188
8,2020-04-30,SELL,TSLA,373,53.367332458496094,19928.301429748535
9,2020-04-30,BUY,AAPL,285,69.90281677246094,5.998649597167969
10,2020-05-29,SELL,TSLA,1476,53.72066879272461,79297.70578765869
11,2020-05-29,BUY,AAPL,1022,77.52682495117188,65.29068756103516
12,2020-06-30,SELL,TSLA,2341,67.29000091552734,157591.18283081055
13,2020-06-30,BUY,AAPL,1788,88.13086700439453,13.192626953125
14,2020-12-31,SELL,AAPL,1886,130.75877380371094,246624.24002075195
15,2020-12-31,BUY,MSFT,1150,214.27987670898438,202.38180541992188
16,2021-01-29,SELL,AAPL,9168,134.0541229248047,1229210.5807800293
17,2021-01-29,BUY,MSFT,5322,230.9540557861328,73.09588623046875
18,2021-02-26,SELL,MSFT,3524,221.85568237304688,781892.5205688477
19,2021-02-26,BUY,AAPL,6598,118.48747253417969,112.17678833007812
20,2021-03-31,SELL,AAPL,7332,117.42001342773438,861035.7152404785
21,2021-03-31,BUY,MSFT,3833,224.6265869140625,42.007598876953125
22,2021-04-30,SELL,MSFT,5345,244.64291381835938,1307658.3819580078
23,2021-04-30,BUY,AAPL,10003,130.71913146972656,74.90986633300781
24,2021-05-31,SELL,MSFT,1435,242.45962524414062,348004.4720916748
25,2021-05-31,BUY,AAPL,2846,122.2398681640625,109.80729675292969
26,2021-07-30,SELL,MSFT,1,278.2148742675781,388.0221710205078
27,2021-07-30,BUY,AAPL,2,142.86988830566406,102.28239440917969
28,2022-01-31,SELL,AAPL,704,167.58485412597656,118082.01969909668
29,2022-01-31,BUY,META,392,300.56182861328125,261.7828826904297
30,2022-02-04,SELL,META,392,236.85520935058594,93109.02494812012
31,2022-02-28,SELL,AAPL,2026,162.39981079101562,422131.0416107178
32,2022-02-28,BUY,META,2013,209.6790313720703,47.151458740234375
33,2022-03-08,SELL,META,2013,186.756591796875,375988.1707458496
34,2022-03-31,SELL,AAPL,134,175.1277618408203,399455.29083251953
35,2022-03-31,BUY,META,1759,226.98294067382812,192.29818725585938
36,2022-04-21,SELL,META,1759,199.65733337402344,351389.5475921631
37,2022-04-29,BUY,AAPL,122,161.20777893066406,331722.19856262207
38,2022-04-29,BUY,META,1617,204.94711303710938,322.71678161621094
39,2022-05-12,SELL,AAPL,11905,144.5345916748047,1721007.030670166
40,2022-05-25,SELL,META,1617,180.5901641845703,2013021.3261566162
41,2022-05-31,BUY,AAPL,12329,147.63243103027344,192861.083984375
42,2022-05-31,BUY,META,991,194.387451171875,223.119873046875
43,2022-06-11,SELL,META,991,174.90188598632812,173550.88888549805
44,2022-06-14,SELL,AAPL,12329,130.11070251464844,1777685.7401885986
45,2022-06-30,BUY,AAPL,12450,137.36212158203125,67527.32649230957
46,2022-06-30,BUY,META,412,163.31614685058594,241.07398986816406
47,2022-07-29,SELL,META,260,160.1083984375,41869.257583618164
48,2022-07-29,BUY,AAPL,269,155.23904418945312,109.95469665527344
49,2022-08-31,SELL,AAPL,11,156.99588012695312,1836.9093780517578
50,2022-08-31,BUY,META,11,156.5619659423828,114.72775268554688
51,2022-09-24,SELL,META,163,139.87570190429688,22914.467163085938
52,2022-09-30,BUY,AAPL,162,140.7637939453125,110.7325439453125
53,2022-12-29,SELL,AAPL,12870,124.72836303710938,1605364.764831543
54,2022-12-30,BUY,AAPL,12516,128.26121520996094,47.395263671875
55,2024-04-30,SELL,AAPL,376,172.8744659423828,65048.19445800781
56,2024-04-30,BUY,META,150,431.43096923828125,333.549072265625
57,2024-05-31,SELL,AAPL,1710,190.85885620117188,326702.19317626953
58,2024-05-31,BUY,META,202,465.766357421875,232617.38897705078
59,2024-05-31,BUY,TSLA,1301,178.7899932861328,11.607711791992188
60,2024-06-28,SELL,AAPL,2402,213.61746215820312,513120.7518157959
61,2024-06-28,BUY,META,192,518.646484375,413540.6268157959
62,2024-06-28,BUY,TSLA,2093,197.4199981689453,340.5706481933594
63,2024-07-18,SELL,META,544,461.17767333984375,251221.22494506836
64,2024-07-31,SELL,TSLA,1012,222.6199951171875,476512.6600036621
65,2024-07-31,BUY,AAPL,1676,218.30685424804688,110630.37228393555
66,2024-07-31,BUY,META,239,462.3755798339844,122.60870361328125
67,2024-08-30,SELL,AAPL,5381,229.53746032714844,1235263.682723999
68,2024-08-30,SELL,META,238,517.3087768554688,1358383.1716156006
69,2024-08-30,BUY,MSFT,1841,412.29473876953125,599348.5575408936
70,2024-08-30,BUY,TSLA,2905,206.27999877929688,105.16108703613281
71,2024-09-30,SELL,AAPL,649,227.53965759277344,147778.3988647461
72,2024-09-30,SELL,TSLA,556,260.4599914550781,292594.15411376953
