,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-31,BUY,AMZN,8886,93.53399658203125,168856.9063720703
1,2020-01-31,BUY,META,55,208.732666015625,157376.60974121094
2,2020-01-31,BUY,TSLA,3683,42.72066879272461,36.38657760620117
3,2020-02-28,SELL,AMZN,2200,94.21499633789062,207309.37852096558
4,2020-02-28,SELL,TSLA,3682,45.266666412353516,373981.2442512512
5,2020-02-28,BUY,META,1978,189.0279083251953,84.04158401489258
6,2020-03-10,SELL,META,2033,168.85499572753906,343366.2478981018
7,2020-03-13,SELL,AMZN,6686,83.83049774169922,903856.9557991028
8,2020-03-13,SELL,TSLA,1,37.369998931884766,903894.3257980347
9,2020-03-31,BUY,AMZN,9204,98.19750213623047,84.5161361694336
10,2020-04-30,SELL,AMZN,3993,118.635498046875,473796.0598373413
11,2020-04-30,BUY,META,327,193.45103454589844,410537.5715408325
12,2020-04-30,BUY,TSLA,7691,53.367332458496094,89.4176025390625
13,2020-05-02,SELL,TSLA,7691,46.75466537475586,359679.5489997864
14,2020-05-29,SELL,AMZN,3598,120.05500030517578,791637.4400978088
15,2020-05-29,SELL,META,327,224.60203552246094,865082.3057136536
16,2020-05-29,BUY,TSLA,16103,53.72066879272461,18.376144409179688
17,2020-06-30,SELL,AMZN,1613,134.0189971923828,216191.01861572266
18,2020-06-30,BUY,TSLA,3212,67.29000091552734,55.535675048828125
19,2020-07-31,SELL,TSLA,19315,99.16600036621094,1915446.832748413
20,2020-07-31,BUY,MSFT,9767,196.104736328125,91.87303161621094
21,2021-02-26,SELL,MSFT,5587,221.85568237304688,1239599.570449829
22,2021-02-26,BUY,AMZN,8109,152.85800170898438,74.03459167480469
23,2021-03-31,SELL,MSFT,2929,224.6265411376953,658005.1735839844
24,2021-03-31,BUY,AMZN,4307,152.76449584960938,48.489959716796875
25,2021-04-30,SELL,MSFT,1251,244.6428680419922,306096.717880249
26,2021-04-30,BUY,AMZN,1763,173.5655059814453,100.7308349609375
27,2022-01-21,SELL,AMZN,14179,151.66749572753906,2150594.1527557373
28,2022-01-31,BUY,AMZN,14936,143.97799682617188,138.7921600341797
29,2022-02-28,SELL,AMZN,114,153.7884979248047,17670.680923461914
30,2022-02-28,BUY,TSLA,65,269.9566650390625,123.49769592285156
31,2022-03-31,SELL,AMZN,898,166.30099487304688,149461.79109191895
32,2022-03-31,SELL,TSLA,65,364.663330078125,173164.90754699707
33,2022-03-31,BUY,MSFT,564,306.558349609375,265.9983673095703
34,2022-04-13,SELL,MSFT,564,275.4981689453125,155646.96565246582
35,2022-04-29,BUY,AMZN,468,144.59649658203125,87975.8052520752
36,2022-04-29,BUY,TSLA,300,292.5033264160156,224.8073272705078
37,2022-04-30,SELL,AMZN,14392,124.28150177001953,1788884.1808013916
38,2022-05-10,SELL,TSLA,300,262.3699951171875,1867595.1793365479
39,2022-05-31,BUY,AMZN,11003,115.14649963378906,600638.2438659668
40,2022-05-31,BUY,MSFT,2244,267.5049743652344,357.0813903808594
41,2022-06-14,SELL,MSFT,2244,237.17520141601562,532578.2333679199
42,2022-06-15,SELL,AMZN,11003,102.30999755859375,1658295.136505127
43,2022-06-30,BUY,AMZN,8070,108.91999816894531,779310.7512817383
44,2022-06-30,BUY,MSFT,3058,254.79737854003906,140.36770629882812
45,2022-07-29,SELL,MSFT,488,270.60845947265625,132197.29592895508
46,2022-07-29,BUY,AMZN,1081,122.27999877929688,12.61724853515625
47,2022-08-31,SELL,MSFT,908,257.9969787597656,234273.87396240234
48,2022-08-31,BUY,AMZN,1819,128.72999572753906,114.01173400878906
49,2022-09-24,SELL,AMZN,10970,113.77999877929688,1248280.5983428955
50,2022-09-30,SELL,MSFT,1661,233.00863647460938,1635307.9435272217
51,2022-09-30,BUY,AMZN,14244,114.80000305175781,96.70005798339844
52,2022-10-01,SELL,MSFT,1,228.49559020996094,325.1956481933594
53,2022-10-31,BUY,AMZN,3,103.41000366210938,14.96563720703125
54,2022-11-03,SELL,AMZN,14247,92.12000274658203,1312448.6447677612
55,2022-11-30,BUY,AMZN,14200,92.41999816894531,84.67076873779297
56,2022-12-28,SELL,AMZN,14200,83.04000091552734,1179252.683769226
57,2022-12-30,BUY,AMZN,8625,84.18000030517578,453200.18113708496
58,2022-12-30,BUY,MSFT,1911,237.1186065673828,66.52398681640625
59,2023-01-31,SELL,AMZN,4174,100.55000305175781,419762.2367248535
60,2023-01-31,BUY,MSFT,1757,238.79116821289062,206.1541748046875
61,2023-02-28,SELL,AMZN,34,93.76000213623047,3393.9942474365234
62,2023-02-28,BUY,MSFT,13,246.7373504638672,186.40869140625
63,2023-03-31,SELL,MSFT,611,280.16363525390625,171366.38983154297
64,2023-03-31,BUY,AMZN,1680,102.0,6.38983154296875
65,2023-04-28,SELL,MSFT,1255,300.6593933105469,377333.9284362793
66,2023-04-28,BUY,AMZN,3435,109.81999969482422,102.22948455810547
67,2023-05-31,SELL,MSFT,914,327.3925476074219,299339.0179977417
68,2023-05-31,BUY,AMZN,2460,121.66000366210938,55.40898895263672
69,2023-06-30,SELL,MSFT,812,331.18829345703125,268980.303276062
70,2023-06-30,BUY,AMZN,2103,127.9000015258789,6.600067138671875
71,2023-07-31,SELL,MSFT,89,334.4700622558594,29774.435607910156
72,2023-07-31,BUY,AMZN,225,132.2100067138672,27.184097290039062
73,2024-02-29,SELL,AMZN,2239,173.16000366210938,387732.43229675293
74,2024-02-29,BUY,TSLA,1919,202.0399932861328,17.6851806640625
75,2024-03-06,SELL,TSLA,1919,180.74000549316406,346857.7557220459
76,2024-03-29,SELL,AMZN,1824,180.3800048828125,675870.8846282959
77,2024-03-29,BUY,TSLA,3844,175.7899932861328,134.1504364013672
78,2024-04-17,SELL,TSLA,3844,157.11000061035156,604064.9927825928
79,2024-04-30,SELL,AMZN,1098,180.9600067138672,802759.080154419
80,2024-04-30,BUY,TSLA,4136,194.0500030517578,168.2675323486328
81,2024-05-10,SELL,TSLA,4136,171.97000122070312,711436.1925811768
82,2024-05-31,SELL,AMZN,680,179.32000732421875,833373.7975616455
83,2024-05-31,BUY,TSLA,4661,178.7899932861328,33.63885498046875
84,2024-06-28,SELL,AMZN,68,197.85000610351562,13487.439270019531
85,2024-06-28,BUY,TSLA,68,197.4199981689453,62.87939453125
86,2024-07-31,SELL,TSLA,410,222.6199951171875,91337.07739257812
87,2024-07-31,BUY,AMZN,502,181.7100067138672,118.65402221679688
88,2024-08-06,SELL,AMZN,8913,161.02000427246094,1435289.9521026611
89,2024-08-30,SELL,TSLA,219,206.27999877929688,1480465.2718353271
90,2024-08-30,BUY,AMZN,8601,172.1199951171875,61.19383239746094
91,2024-09-30,SELL,TSLA,591,260.4599914550781,153993.04878234863
92,2024-09-30,BUY,AMZN,819,187.97000122070312,45.61778259277344
93,2024-10-31,SELL,TSLA,908,257.54998779296875,233901.0066986084
94,2024-10-31,BUY,AMZN,1213,192.72999572753906,119.52188110351562
95,2024-11-29,SELL,TSLA,2362,332.8900146484375,786405.7364807129
96,2024-11-29,BUY,AMZN,3822,205.74000549316406,67.43548583984375
97,2024-12-31,SELL,AMZN,6577,221.3000030517578,1455557.555557251
98,2024-12-31,SELL,TSLA,239,417.4100036621094,1555318.5464324951
99,2024-12-31,BUY,MSFT,3661,424.8299865722656,15.965591430664062
100,2025-01-01,SELL,AMZN,208,219.38999938964844,45649.08546447754
101,2025-01-01,BUY,MSFT,108,421.5,127.08546447753906
