,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-31,BUY,AAPL,3445,78.4965591430664,729579.3537521362
1,2020-01-31,BUY,AMZN,7799,93.53399658203125,107.71440887451172
2,2020-02-26,SELL,AAPL,3445,69.98783874511719,241215.81888580322
3,2020-02-28,SELL,AMZN,7205,94.21499633789062,920034.8675003052
4,2020-02-28,BUY,AAPL,13845,66.45054626464844,27.054466247558594
5,2020-03-13,SELL,AMZN,594,83.83049774169922,49822.370124816895
6,2020-03-17,SELL,AAPL,13845,58.84391784667969,864516.4127120972
7,2020-03-31,BUY,AAPL,4087,61.905033111572266,611510.5423851013
8,2020-03-31,BUY,AMZN,6227,98.19750213623047,34.69658279418945
9,2020-04-30,SELL,AMZN,3326,118.635498046875,394616.36308670044
10,2020-04-30,BUY,AAPL,5645,69.90281677246094,14.962406158447266
11,2020-05-29,SELL,AMZN,1521,120.05500030517578,182618.6178703308
12,2020-05-29,BUY,AAPL,2355,77.52681732177734,42.963077545166016
13,2020-06-30,SELL,AMZN,1379,134.0189971923828,184855.16020584106
14,2020-06-30,BUY,AAPL,2097,88.13087463378906,44.71609878540039
15,2020-09-30,SELL,AMZN,1,157.24400329589844,201.96010208129883
16,2020-09-30,BUY,AAPL,1,111.371337890625,90.58876419067383
17,2020-12-31,SELL,AAPL,1969,130.7587432861328,257554.55429458618
18,2020-12-31,BUY,MSFT,1201,214.2799072265625,204.38571548461914
19,2021-01-29,SELL,AAPL,9574,134.0541229248047,1283638.5585975647
20,2021-01-29,BUY,MSFT,5557,230.9540252685547,227.04018020629883
21,2021-02-26,SELL,MSFT,5754,221.85569763183594,1276784.7243537903
22,2021-02-26,BUY,AAPL,4954,118.48746490478516,689797.8232154846
23,2021-02-26,BUY,AMZN,4512,152.85800170898438,102.51950454711914
24,2021-03-31,SELL,AAPL,7595,117.42001342773438,891907.5214881897
25,2021-03-31,BUY,AMZN,5789,152.76449584960938,7553.855014801025
26,2021-03-31,BUY,MSFT,33,224.62657165527344,141.17815017700195
27,2021-04-30,SELL,MSFT,1037,244.6428680419922,253835.8323097229
28,2021-04-30,BUY,AMZN,1462,173.5655059814453,83.06256484985352
29,2021-05-31,SELL,AAPL,1,122.23987579345703,205.30244064331055
30,2021-05-31,BUY,AMZN,1,161.15350341796875,44.1489372253418
31,2021-07-30,SELL,AMZN,2191,179.99600219726562,394415.3897514343
32,2021-07-30,BUY,AAPL,2760,142.86985778808594,94.58225631713867
33,2021-08-31,SELL,AAPL,2135,150.43263244628906,321268.2525291443
34,2021-08-31,BUY,AMZN,1877,171.07850646972656,153.8958854675293
35,2021-09-30,SELL,AAPL,528,140.3232421875,74244.56776046753
36,2021-09-30,BUY,AMZN,449,165.05599975585938,134.42387008666992
37,2021-10-29,SELL,AMZN,278,172.32850646972656,48041.748668670654
38,2021-10-29,BUY,AAPL,320,149.8922882080078,76.2164421081543
39,2021-12-31,SELL,AAPL,416,175.32798767089844,73012.6593132019
40,2021-12-31,BUY,AMZN,432,168.64450073242188,158.2349967956543
41,2022-01-21,SELL,AMZN,12053,151.66749572753906,1828206.561000824
42,2022-01-31,BUY,AAPL,1356,167.5848388671875,1600961.5194969177
43,2022-01-31,BUY,AMZN,11119,143.97799682617188,70.17278671264648
44,2022-02-28,SELL,AMZN,1233,153.7884979248047,189691.39072799683
