,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,AAPL,25342,39.45887756347656,33.124786376953125
1,2019-02-28,SELL,AAPL,14940,41.935054779052734,626542.8431854248
2,2019-02-28,BUY,AMZN,7635,82.05449676513672,56.76038360595703
3,2019-03-29,SELL,AMZN,372,88.6709976196289,33042.37149810791
4,2019-03-29,BUY,AAPL,730,45.25637435913086,5.2182159423828125
5,2019-04-30,SELL,AMZN,7262,96.92150115966797,703849.1596374512
6,2019-04-30,BUY,AAPL,14344,49.0669059753418,33.4603271484375
7,2019-05-21,SELL,AAPL,25476,44.07534408569336,1122896.9262542725
8,2019-05-31,BUY,AAPL,26161,42.922237396240234,8.273731231689453
9,2019-06-28,SELL,AMZN,1,95.21399688720703,103.48772811889648
10,2019-06-28,BUY,AAPL,2,48.083518981933594,7.320690155029297
11,2019-09-30,SELL,AAPL,4123,52.87678527832031,218018.30639266968
12,2019-09-30,BUY,AMZN,2527,86.27249908447266,7.701206207275391
13,2019-10-31,SELL,AAPL,9600,58.7825927734375,564320.5918312073
14,2019-10-31,BUY,AMZN,6340,88.99949645996094,63.78427505493164
15,2019-11-29,SELL,AAPL,5304,64.91654205322266,344381.1233253479
16,2019-11-29,BUY,AMZN,3787,90.92549896240234,46.25875473022461
17,2019-12-31,SELL,AAPL,2546,70.65589141845703,179936.15830612183
18,2019-12-31,BUY,AMZN,1948,92.34449768066406,49.07682418823242
19,2020-01-31,SELL,AAPL,1983,78.49658203125,155707.79899215698
20,2020-01-31,BUY,AMZN,1664,93.53399658203125,67.22867965698242
21,2020-02-28,SELL,AAPL,1014,66.4505615234375,67448.09806442261
22,2020-02-28,BUY,AMZN,715,94.21499633789062,84.37568283081055
23,2020-03-13,SELL,AMZN,16981,83.83049774169922,1423610.0578346252
24,2020-03-31,BUY,AAPL,661,61.9050407409668,1382690.8259048462
25,2020-03-31,BUY,AMZN,14080,98.19750213623047,69.9958267211914
26,2020-04-30,SELL,AMZN,2730,118.635498046875,323944.90549468994
27,2020-04-30,BUY,AAPL,2332,69.90280151367188,160931.57236480713
28,2020-04-30,BUY,META,831,193.45101928710938,173.77533721923828
29,2020-05-29,SELL,AMZN,2921,120.05500030517578,350854.4312286377
30,2020-05-29,SELL,META,831,224.60203552246094,537498.7227478027
31,2020-05-29,BUY,AAPL,6933,77.52681732177734,5.298255920410156
32,2020-06-30,SELL,AMZN,5780,134.0189971923828,774635.1020278931
33,2020-06-30,BUY,AAPL,8789,88.13086700439453,52.91192626953125
34,2020-07-31,SELL,AMZN,2648,152.593994140625,404121.80841064453
35,2020-07-31,BUY,AAPL,4311,93.72887420654297,56.63170623779297
36,2020-08-31,SELL,AMZN,1,170.08999633789062,226.7217025756836
37,2020-08-31,BUY,AAPL,1,121.83345031738281,104.88825225830078
38,2020-09-12,SELL,AAPL,24620,109.33113861083984,2691837.5208511353
39,2020-09-30,BUY,AAPL,24169,111.371337890625,103.6553726196289
40,2020-12-31,SELL,AAPL,3355,130.75875854492188,438799.2902908325
41,2020-12-31,BUY,MSFT,2047,214.2799072265625,168.32019805908203
42,2021-01-29,SELL,AAPL,16313,134.0541534423828,2186993.72530365
43,2021-01-29,BUY,MSFT,9469,230.9540557861328,89.77106475830078
44,2021-02-26,SELL,MSFT,9806,221.85569763183594,2175606.7420425415
45,2021-02-26,BUY,AAPL,8442,118.48746490478516,1175335.5633163452
46,2021-02-26,BUY,AMZN,7688,152.85800170898438,163.24617767333984
47,2021-03-31,SELL,AAPL,12942,117.42001342773438,1519813.0599594116
48,2021-03-31,BUY,AMZN,9863,152.76449584960938,13096.837394714355
49,2021-03-31,BUY,MSFT,58,224.62655639648438,68.49712371826172
50,2021-04-30,SELL,MSFT,1768,244.64288330078125,432597.1147994995
51,2021-04-30,BUY,AMZN,2492,173.5655059814453,71.87389373779297
52,2021-05-31,SELL,AAPL,1,122.2398910522461,194.11378479003906
53,2021-05-31,BUY,AMZN,1,161.15350341796875,32.96028137207031
54,2021-07-30,SELL,AMZN,3734,179.99600219726562,672138.0324859619
55,2021-07-30,BUY,AAPL,4704,142.869873046875,78.14967346191406
