,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-31,BUY,AAPL,3445,78.4965591430664,729579.3537521362
1,2020-01-31,BUY,AMZN,7799,93.53399658203125,107.71440887451172
2,2020-02-26,SELL,AAPL,3445,69.98782348632812,241215.7663192749
3,2020-02-28,SELL,AMZN,7205,94.21499633789062,920034.8149337769
4,2020-02-28,BUY,AAPL,13845,66.4505386352539,27.107528686523438
5,2020-03-13,SELL,AMZN,594,83.83049774169922,49822.42318725586
6,2020-03-17,SELL,AAPL,13845,58.84392166137695,864516.5185890198
7,2020-03-31,BUY,AAPL,4087,61.905029296875,611510.6638526917
8,2020-03-31,BUY,AMZN,6227,98.19750213623047,34.818050384521484
9,2020-04-30,SELL,AMZN,3326,118.635498046875,394616.4845542908
10,2020-04-30,BUY,AAPL,5645,69.90280151367188,15.17000961303711
11,2020-05-29,SELL,AMZN,1521,120.05500030517578,182618.8254737854
12,2020-05-29,BUY,AAPL,2355,77.52681732177734,43.17068099975586
13,2020-06-30,SELL,AMZN,1380,134.0189971923828,184989.38680648804
14,2020-06-30,BUY,AAPL,2099,88.13087463378906,2.680950164794922
15,2020-12-31,SELL,AAPL,1969,130.75875854492188,257466.67652511597
16,2020-12-31,BUY,MSFT,1201,214.27987670898438,116.54459762573242
17,2021-01-29,SELL,AAPL,9575,134.05413818359375,1283684.917705536
18,2021-01-29,BUY,MSFT,5558,230.95408630371094,42.10602951049805
19,2021-02-26,SELL,MSFT,5755,221.85568237304688,1276821.5580863953
20,2021-02-26,BUY,AAPL,4954,118.48745727539062,689834.6947441101
21,2021-02-26,BUY,AMZN,4512,152.85800170898438,139.39103317260742
22,2021-03-31,SELL,AAPL,7595,117.4200210571289,891944.4509620667
23,2021-03-31,BUY,AMZN,5789,152.76449584960938,7590.7844886779785
24,2021-03-31,BUY,MSFT,33,224.62655639648438,178.10812759399414
25,2021-04-30,SELL,MSFT,1037,244.64285278320312,253872.74646377563
26,2021-04-30,BUY,AMZN,1462,173.5655059814453,119.97671890258789
27,2021-05-31,SELL,AAPL,1,122.23986053466797,242.21657943725586
28,2021-05-31,BUY,AMZN,1,161.15350341796875,81.06307601928711
29,2021-07-30,SELL,AMZN,2191,179.99600219726562,394452.3038902283
30,2021-07-30,BUY,AAPL,2760,142.869873046875,131.45428085327148
31,2021-08-31,SELL,AAPL,2135,150.43264770507812,321305.15713119507
32,2021-08-31,BUY,AMZN,1878,171.07850646972656,19.721981048583984
33,2021-09-30,SELL,AAPL,528,140.32325744628906,74110.40191268921
34,2021-09-30,BUY,AMZN,449,165.05599975585938,0.2580223083496094
35,2021-10-29,SELL,AMZN,279,172.32850646972656,48079.91132736206
36,2021-10-29,BUY,AAPL,320,149.89230346679688,114.37421798706055
37,2021-12-31,SELL,AAPL,416,175.32798767089844,73050.81708908081
38,2021-12-31,BUY,AMZN,433,168.64450073242188,27.748271942138672
39,2022-01-21,SELL,AMZN,12054,151.66749572753906,1828227.741771698
40,2022-01-31,BUY,AAPL,1356,167.5848388671875,1600982.7002677917
41,2022-01-31,BUY,AMZN,11119,143.97799682617188,91.35355758666992
42,2022-02-28,SELL,AMZN,1233,153.7884979248047,189712.57149887085
43,2022-02-28,BUY,AAPL,1168,162.39981079101562,29.59249496459961
44,2022-03-31,SELL,AMZN,1170,166.30099487304688,194601.75649642944
