,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-03,BUY,AMZN,2634,94.90049743652344,750032.0897521973
1,2020-01-03,BUY,CSCO,6030,41.455711364746094,500054.1502227783
2,2020-01-03,BUY,NFLX,758,329.80999755859375,250058.17207336426
3,2020-01-03,BUY,TSLA,8715,28.68400001525879,77.11194038391113
4,2020-01-04,SELL,TSLA,272,29.534000396728516,8110.360048294067
5,2020-01-04,BUY,AMZN,25,93.74849700927734,5766.647623062134
6,2020-01-04,BUY,CSCO,84,40.77933120727539,2341.183801651001
7,2020-01-04,BUY,NFLX,7,325.8999938964844,59.88384437561035
8,2020-01-07,SELL,NFLX,9,335.8299865722656,3082.353723526001
9,2020-01-07,SELL,TSLA,19,30.1026668548584,3654.3043937683105
10,2020-01-07,BUY,AMZN,6,95.14399719238281,3083.4404106140137
11,2020-01-07,BUY,CSCO,75,40.924869537353516,14.0751953125
12,2020-01-08,SELL,TSLA,275,31.270666122436523,8613.508378982544
13,2020-01-08,BUY,AMZN,7,95.34300231933594,7946.107362747192
14,2020-01-08,BUY,CSCO,77,40.65947723388672,4815.327615737915
15,2020-01-08,BUY,NFLX,14,330.75,184.82761573791504
16,2020-01-09,SELL,NFLX,6,339.260009765625,2220.387674331665
17,2020-01-09,SELL,TSLA,251,32.80933380126953,10455.530458450317
18,2020-01-09,BUY,AMZN,67,94.59850311279297,4117.4307498931885
19,2020-01-09,BUY,CSCO,101,40.685157775878906,8.229814529418945
20,2020-01-10,SELL,AMZN,34,95.05249786376953,3240.014741897583
21,2020-01-10,SELL,CSCO,22,40.51392364501953,4131.321062088013
22,2020-01-10,BUY,NFLX,1,335.6600036621094,3795.6610584259033
23,2020-01-10,BUY,TSLA,112,32.089332580566406,201.65580940246582
24,2020-01-11,SELL,AMZN,2,94.15799713134766,389.97180366516113
25,2020-01-11,SELL,CSCO,37,40.35124588012695,1882.9679012298584
26,2020-01-11,SELL,TSLA,26,31.876667022705078,2711.7612438201904
27,2020-01-11,BUY,NFLX,8,329.04998779296875,79.36134147644043
28,2020-01-14,SELL,TSLA,438,34.990665435791016,15405.272802352905
29,2020-01-14,BUY,AMZN,89,94.56500244140625,6988.987585067749
30,2020-01-14,BUY,CSCO,120,41.0704345703125,2060.535436630249
31,2020-01-14,BUY,NFLX,6,338.9200134277344,27.015356063842773
32,2020-01-15,SELL,TSLA,167,35.861331939697266,6015.857789993286
33,2020-01-15,BUY,AMZN,38,93.47200012207031,2463.9217853546143
34,2020-01-15,BUY,CSCO,39,40.91632843017578,868.1849765777588
35,2020-01-15,BUY,NFLX,2,338.69000244140625,190.8049716949463
36,2020-01-16,SELL,AMZN,12,93.10099792480469,1308.0169467926025
37,2020-01-16,SELL,CSCO,84,41.104671478271484,4760.809350967407
38,2020-01-16,SELL,NFLX,7,339.07000732421875,7134.2994022369385
39,2020-01-16,BUY,TSLA,206,34.56666564941406,13.566278457641602
40,2020-01-17,SELL,AMZN,10,93.89700317382812,952.5363101959229
41,2020-01-17,SELL,CSCO,105,41.995094299316406,5362.0212116241455
42,2020-01-17,BUY,NFLX,4,338.6199951171875,4007.5412311553955
43,2020-01-17,BUY,TSLA,115,34.232666015625,70.78463935852051
44,2020-01-18,SELL,CSCO,13,41.96940994262695,616.3869686126709
45,2020-01-18,SELL,NFLX,3,339.6700134277344,1635.397008895874
46,2020-01-18,BUY,AMZN,11,93.23600006103516,609.8010082244873
47,2020-01-18,BUY,TSLA,17,34.03333282470703,31.234350204467773
