,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-31,BUY,AMZN,3704,93.53399658203125,653550.0766601562
1,2020-01-31,BUY,CSCO,14619,40.445430755615234,62278.32444381714
2,2020-01-31,BUY,TSLA,1456,42.72066879272461,77.03068161010742
3,2020-02-27,SELL,CSCO,14619,36.096092224121094,527765.8029060364
4,2020-02-28,SELL,AMZN,3703,94.21499633789062,876643.9343452454
5,2020-02-28,BUY,CSCO,25488,34.281009674072266,2889.559772491455
6,2020-02-28,BUY,TSLA,63,45.266666412353516,37.759788513183594
7,2020-03-10,SELL,TSLA,1519,40.53333282470703,61607.892349243164
8,2020-03-13,SELL,AMZN,1,83.83049774169922,61691.72284698486
9,2020-03-13,SELL,CSCO,25488,28.4248104095459,786183.2905654907
10,2020-03-31,BUY,AMZN,1772,98.19750213623047,612177.3167800903
11,2020-03-31,BUY,CSCO,17731,34.5207405090332,90.06681442260742
12,2020-04-30,SELL,AMZN,1072,118.635498046875,127267.32072067261
13,2020-04-30,BUY,CSCO,3397,37.45817565917969,21.898006439208984
14,2020-05-29,SELL,AMZN,401,120.05500030517578,48163.9531288147
15,2020-05-29,BUY,CSCO,1212,39.411460876464844,397.26254653930664
16,2020-05-29,BUY,TSLA,7,53.72066879272461,21.217864990234375
17,2020-06-30,SELL,AMZN,298,134.0189971923828,39958.87902832031
18,2020-06-30,SELL,TSLA,6,67.29000091552734,40362.61903381348
19,2020-06-30,BUY,CSCO,1011,39.88682556152344,37.03839111328125
20,2020-07-31,SELL,AMZN,1,152.593994140625,189.63238525390625
21,2020-07-31,SELL,TSLA,1,99.16600036621094,288.7983856201172
22,2020-07-31,BUY,CSCO,7,40.453643798828125,5.6228790283203125
23,2020-09-04,SELL,CSCO,23358,35.67133331298828,833216.6264038086
24,2020-09-30,BUY,CSCO,24279,34.02497100830078,7124.355293273926
25,2020-09-30,BUY,TSLA,50,139.69000244140625,139.85517120361328
26,2020-10-30,SELL,CSCO,287,31.376131057739258,9144.80478477478
27,2020-10-30,BUY,TSLA,66,136.94332885742188,106.54508018493652
28,2020-11-30,SELL,TSLA,10,195.25332641601562,2059.078344345093
29,2020-11-30,BUY,CSCO,54,37.53883361816406,31.9813289642334
30,2020-12-31,SELL,TSLA,105,231.5933380126953,24349.28182029724
31,2020-12-31,BUY,AAPL,148,130.7587432861328,4996.987813949585
32,2020-12-31,BUY,CSCO,127,39.10368728637695,30.819528579711914
33,2021-01-29,SELL,AAPL,147,134.05413818359375,19736.777841567993
34,2021-01-29,SELL,TSLA,1,278.4766540527344,20015.254495620728
35,2021-01-29,BUY,CSCO,498,40.18299865722656,4.121164321899414
36,2021-02-26,SELL,AAPL,1,118.48745727539062,122.60862159729004
37,2021-02-26,BUY,CSCO,3,40.3425178527832,1.5810680389404297
38,2021-03-31,SELL,CSCO,518,45.88163757324219,23768.269330978394
39,2021-03-31,BUY,AMZN,155,152.76449584960938,89.77247428894043
40,2021-04-30,SELL,CSCO,566,45.933860778808594,26088.337675094604
41,2021-04-30,BUY,AMZN,150,173.5655059814453,53.51177787780762
42,2021-05-31,SELL,CSCO,2295,47.21923065185547,108421.64612388611
43,2021-05-31,BUY,AMZN,672,161.15350341796875,126.4918270111084
44,2021-06-30,SELL,CSCO,3654,47.22815704345703,172698.1776638031
45,2021-06-30,BUY,AMZN,1001,172.40699768066406,118.77298545837402
46,2021-07-30,SELL,AMZN,1246,179.99600219726562,224393.79172325134
47,2021-07-30,BUY,CSCO,4533,49.49891662597656,15.202657699584961
48,2021-08-31,SELL,CSCO,1787,53.1481819152832,94991.00374031067
49,2021-08-31,BUY,AMZN,555,171.07850646972656,42.43264961242676
50,2021-09-30,SELL,AMZN,45,165.05599975585938,7469.952638626099
51,2021-09-30,BUY,CSCO,149,49.86743927001953,39.70418739318848
