,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-03,BUY,AAPL,2747,72.79601287841797,800029.3526229858
1,2020-01-03,BUY,AMZN,2107,94.90049743652344,600074.004524231
2,2020-01-03,BUY,META,957,208.98170471191406,400078.5131149292
3,2020-01-03,BUY,MSFT,1301,153.63067626953125,200205.00328826904
4,2020-01-03,BUY,TSLA,6972,28.68400001525879,220.15518188476562
5,2020-01-04,SELL,AAPL,2747,72.0882797241211,198246.6595840454
6,2020-01-04,SELL,AMZN,2107,93.74849700927734,395774.7427825928
7,2020-01-04,SELL,META,956,207.8759307861328,594504.1326141357
8,2020-01-04,BUY,MSFT,648,151.71768188476562,496191.0747528076
9,2020-01-04,BUY,TSLA,16800,29.534000396728516,19.868087768554688
10,2020-01-07,SELL,TSLA,3431,30.1026668548584,103302.11806678772
11,2020-01-07,BUY,MSFT,679,152.10984802246094,19.531259536743164
12,2020-01-08,SELL,TSLA,2682,31.270666122436523,83887.4577999115
13,2020-01-08,BUY,MSFT,556,150.72299194335938,85.47427940368652
14,2020-01-09,SELL,META,1,214.4010009765625,299.875280380249
15,2020-01-09,SELL,MSFT,3183,153.12374877929688,487692.7676448822
16,2020-01-09,SELL,TSLA,17659,32.80933380126953,1067072.7932415009
17,2020-01-09,BUY,AAPL,8746,73.48432922363281,424378.8498516083
18,2020-01-09,BUY,AMZN,4486,94.59850311279297,9.964887619018555
19,2020-01-10,SELL,AAPL,8746,75.04522705078125,656355.5206737518
20,2020-01-10,BUY,AMZN,5437,95.05249786376953,139555.0897884369
21,2020-01-10,BUY,MSFT,653,155.0367431640625,38316.09650230408
22,2020-01-10,BUY,TSLA,1190,32.089332580566406,129.7907314300537
23,2020-01-11,SELL,AMZN,673,94.15799713134766,63498.12280082703
24,2020-01-11,SELL,MSFT,445,154.3193817138672,132170.24766349792
25,2020-01-11,SELL,TSLA,955,31.876667022705078,162612.46467018127
26,2020-01-11,BUY,AAPL,2161,75.21488189697266,73.10489082336426
27,2020-01-14,SELL,AAPL,1173,76.8218002319336,90185.07656288147
28,2020-01-14,SELL,TSLA,235,34.990665435791016,98407.88294029236
29,2020-01-14,BUY,AMZN,839,94.56500244140625,19067.845891952515
30,2020-01-14,BUY,MSFT,122,156.17495727539062,14.501104354858398
31,2020-01-15,SELL,AAPL,987,75.7844467163086,74813.75001335144
32,2020-01-15,SELL,AMZN,709,93.47200012207031,141085.3980998993
33,2020-01-15,BUY,MSFT,255,155.07496643066406,101541.28166007996
34,2020-01-15,BUY,TSLA,2831,35.861331939697266,17.85093879699707
35,2020-01-16,SELL,AMZN,632,93.10099792480469,58857.68162727356
36,2020-01-16,BUY,MSFT,339,156.0792694091797,5946.8092975616455
37,2020-01-16,BUY,TSLA,172,34.56666564941406,1.3428058624267578
38,2020-01-17,SELL,MSFT,375,158.939208984375,59603.54617500305
39,2020-01-17,BUY,AMZN,313,93.89700317382812,30213.78418159485
40,2020-01-17,BUY,TSLA,882,34.232666015625,20.572755813598633
41,2020-01-18,SELL,AAPL,1,77.25078582763672,97.82354164123535
42,2020-01-18,SELL,AMZN,88,93.23600006103516,8302.59154701233
43,2020-01-18,SELL,TSLA,322,34.03333282470703,19261.324716567993
44,2020-01-18,BUY,MSFT,120,159.82872009277344,81.87830543518066
45,2020-01-22,SELL,AMZN,117,94.5999984741211,11150.078126907349
46,2020-01-22,SELL,MSFT,670,159.25482177734375,117850.80871772766
47,2020-01-22,SELL,TSLA,3141,36.47999954223633,232434.48727989197
48,2020-01-22,BUY,AAPL,3029,76.72726440429688,27.6033992767334
49,2020-01-23,SELL,AAPL,22,77.00115203857422,1721.6287441253662
50,2020-01-23,SELL,TSLA,421,37.97066879272461,17707.280305862427
51,2020-01-23,BUY,AMZN,187,94.37300109863281,59.52910041809082
52,2020-01-24,SELL,AAPL,218,77.37197875976562,16926.620470046997
53,2020-01-24,SELL,TSLA,1,38.14666748046875,16964.767137527466
54,2020-01-24,BUY,AMZN,180,94.22899627685547,3.5478076934814453
55,2020-01-25,SELL,AMZN,216,93.08200073242188,20109.259965896606
56,2020-01-25,BUY,AAPL,260,77.14900207519531,50.519426345825195
57,2020-01-28,SELL,AAPL,1523,74.88040161132812,114093.37108039856
58,2020-01-28,SELL,AMZN,160,91.41699981689453,128720.09105110168
59,2020-01-28,BUY,TSLA,3460,37.201332092285156,3.4820117950439453
60,2020-01-29,SELL,AMZN,95,92.6624984741211,8806.419366836548
61,2020-01-29,BUY,AAPL,19,76.99872589111328,7343.4435749053955
62,2020-01-29,BUY,TSLA,193,37.793331146240234,49.33066368103027
63,2020-01-30,SELL,AAPL,110,78.6104736328125,8696.482763290405
64,2020-01-30,SELL,TSLA,23,38.732666015625,9587.33408164978
65,2020-01-30,BUY,AMZN,103,92.9000015258789,18.63392448425293
66,2020-01-31,SELL,TSLA,2036,42.72066879272461,86997.91558647156
67,2020-01-31,BUY,AAPL,1057,78.49657440185547,4027.036443710327
68,2020-01-31,BUY,AMZN,42,93.53399658203125,98.60858726501465
69,2020-02-01,SELL,AMZN,1812,100.43599700927734,182088.63516807556
70,2020-02-01,SELL,TSLA,1594,43.371334075927734,251222.54168510437
71,2020-02-01,BUY,AAPL,2029,75.01612091064453,99014.83235740662
72,2020-02-01,BUY,META,492,201.1416473388672,53.14186668395996
73,2020-02-04,SELL,AMZN,469,100.20999908447266,47051.631437301636
74,2020-02-04,BUY,AAPL,175,74.81011199951172,33959.861837387085
75,2020-02-04,BUY,META,166,203.41297912597656,193.3073024749756
76,2020-02-05,SELL,AMZN,941,102.4834976196289,96630.27856254578
77,2020-02-05,BUY,AAPL,967,77.2798843383789,21900.630407333374
78,2020-02-05,BUY,META,104,209.03150939941406,161.35342979431152
79,2020-02-06,SELL,AMZN,366,101.99349975585938,37490.97434043884
80,2020-02-06,BUY,AAPL,109,77.91004943847656,28998.778951644897
81,2020-02-06,BUY,META,138,209.31044006347656,113.93822288513184
82,2020-02-07,SELL,AAPL,105,78.82135009765625,8390.179983139038
83,2020-02-07,SELL,AMZN,246,102.5114974975586,33608.00836753845
84,2020-02-07,BUY,META,160,210.04763793945312,0.38629722595214844
85,2020-02-08,SELL,AMZN,1095,103.96399688720703,113840.96288871765
86,2020-02-08,SELL,META,103,211.52200317382812,135627.72921562195
87,2020-02-08,BUY,AAPL,1744,77.74995422363281,31.809049606323242
88,2020-02-11,SELL,AMZN,1490,106.69550323486328,159008.1088695526
89,2020-02-11,SELL,META,211,212.24920654296875,203792.69145011902
90,2020-02-11,BUY,AAPL,2608,78.11923217773438,57.733930587768555
91,2020-02-12,SELL,AMZN,534,107.54000091552734,57484.09441947937
92,2020-02-12,BUY,AAPL,671,77.64793395996094,5382.330732345581
93,2020-02-12,BUY,META,25,206.4015655517578,222.29159355163574
94,2020-02-13,SELL,AMZN,565,108.0,61242.291593551636
95,2020-02-13,SELL,META,1,209.95797729492188,61452.24957084656
96,2020-02-13,BUY,AAPL,773,79.49188232421875,5.024534225463867
97,2020-02-14,SELL,AMZN,617,107.49349975585938,66328.5138835907
98,2020-02-14,SELL,META,120,212.32891845703125,91807.98409843445
99,2020-02-14,BUY,AAPL,1163,78.9258041381836,17.27388572692871
100,2020-02-15,SELL,AMZN,469,106.74349975585938,50079.975271224976
101,2020-02-15,SELL,META,98,213.3649444580078,70989.73982810974
102,2020-02-15,BUY,AAPL,899,78.94525909423828,17.951902389526367
103,2020-02-19,SELL,AMZN,292,107.78350067138672,31490.73409843445
104,2020-02-19,SELL,META,117,216.97119140625,56876.3634929657
105,2020-02-19,BUY,AAPL,733,77.4997329711914,69.05922508239746
106,2020-02-21,SELL,AAPL,31,77.8155517578125,2481.341329574585
107,2020-02-21,SELL,AMZN,1,107.65499877929688,2588.996328353882
108,2020-02-21,BUY,META,12,213.763427734375,23.835195541381836
109,2020-02-22,SELL,META,18,209.3801727294922,3792.678304672241
110,2020-02-22,BUY,AAPL,49,76.05419921875,66.02254295349121
111,2020-02-25,SELL,META,237,199.9561767578125,47455.636434555054
112,2020-02-25,BUY,AAPL,655,72.44158935546875,6.395406723022461
113,2020-02-26,SELL,META,191,196.02122497558594,37446.44937705994
114,2020-02-26,BUY,AAPL,535,69.98783874511719,2.955648422241211
115,2020-02-27,SELL,AAPL,186,71.09809875488281,13227.202016830444
116,2020-02-27,SELL,META,1,196.44956970214844,13423.651586532593
117,2020-02-27,BUY,AMZN,135,98.97949981689453,61.419111251831055
118,2020-02-28,SELL,AAPL,693,66.4505386352539,46111.64238548279
119,2020-02-28,BUY,AMZN,489,94.21499633789062,40.50917625427246
120,2020-02-29,SELL,AAPL,636,66.41165924072266,42278.32445335388
121,2020-02-29,BUY,AMZN,448,94.1875,82.32445335388184
122,2020-03-03,SELL,AAPL,153,72.59463500976562,11189.303609848022
123,2020-03-03,BUY,AMZN,114,97.69750213623047,51.78836631774902
124,2020-03-04,SELL,AAPL,128,70.2890853881836,9048.791296005249
