,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-31,BUY,CSCO,24374,40.4454345703125,14182.977783203125
1,2020-01-31,BUY,TSLA,331,42.72066879272461,42.4364128112793
2,2020-02-27,SELL,CSCO,24374,36.09608840942383,879848.4953041077
3,2020-02-28,BUY,CSCO,24195,34.281005859375,50419.55853652954
4,2020-02-28,BUY,TSLA,1113,45.266666412353516,37.758819580078125
5,2020-03-10,SELL,TSLA,1444,40.53333282470703,58567.89141845703
6,2020-03-13,SELL,CSCO,24195,28.4248046875,746306.0408325195
7,2020-03-31,BUY,CSCO,20087,34.52073287963867,52888.07947921753
8,2020-03-31,BUY,TSLA,1579,33.47533416748047,30.52682876586914
9,2020-04-30,SELL,TSLA,696,53.367332458496094,37174.19021987915
10,2020-04-30,BUY,CSCO,992,37.45817184448242,15.68375015258789
11,2020-05-29,SELL,TSLA,304,53.72066879272461,16346.76706314087
12,2020-05-29,BUY,CSCO,414,39.41146469116211,30.42068099975586
13,2020-06-30,SELL,TSLA,579,67.29000091552734,38991.33121109009
14,2020-06-30,BUY,CSCO,977,39.88682556152344,21.902637481689453
15,2020-09-04,SELL,CSCO,22470,35.67133712768555,801556.8478965759
16,2020-09-30,BUY,CSCO,23357,34.02497100830078,6835.60005569458
17,2020-09-30,BUY,TSLA,48,139.69000244140625,130.47993850708008
18,2020-10-30,SELL,CSCO,277,31.376134872436523,8821.669298171997
19,2020-10-30,BUY,TSLA,64,136.94332885742188,57.29625129699707
20,2020-11-30,SELL,TSLA,10,195.25332641601562,2009.8295154571533
21,2020-11-30,BUY,CSCO,53,37.53883361816406,20.271333694458008
22,2020-12-31,SELL,TSLA,73,231.5933380126953,16926.585008621216
23,2020-12-31,BUY,CSCO,432,39.10368347167969,33.79374885559082
24,2021-01-29,SELL,TSLA,28,278.4766540527344,7831.140062332153
25,2021-01-29,BUY,CSCO,194,40.18299102783203,35.63980293273926
26,2021-03-31,SELL,CSCO,17,45.88164138793945,815.62770652771
27,2021-03-31,SELL,TSLA,1,211.8733367919922,1027.5010433197021
28,2021-03-31,BUY,META,3,286.904052734375,166.78888511657715
29,2021-04-30,SELL,META,3,328.256103515625,1151.5571956634521
30,2021-04-30,BUY,CSCO,25,45.933868408203125,3.2104854583740234
31,2022-05-20,SELL,CSCO,23767,38.23530578613281,908741.7231044769
32,2022-05-31,BUY,CSCO,21735,41.809547424316406,11.209836959838867
33,2022-09-24,SELL,CSCO,21735,37.59922790527344,817230.428358078
34,2022-09-30,BUY,CSCO,21783,37.5160026550293,19.3425235748291
35,2023-03-31,SELL,CSCO,220,48.383766174316406,10663.771081924438
36,2023-03-31,BUY,TSLA,54,195.27999877929688,118.65114784240723
37,2023-04-21,SELL,TSLA,54,162.99000549316406,8920.111444473267
38,2023-04-28,SELL,CSCO,438,44.13124084472656,28249.5949344635
39,2023-04-28,BUY,TSLA,176,160.19000244140625,56.15450477600098
40,2023-05-31,SELL,TSLA,5,201.16000366210938,1061.9545230865479
41,2023-05-31,BUY,CSCO,22,47.55292510986328,15.790170669555664
42,2023-06-30,SELL,TSLA,62,257.5,15980.790170669556
43,2023-06-30,BUY,CSCO,329,48.538673400878906,11.566621780395508
44,2023-07-31,SELL,TSLA,58,266.44000244140625,15465.086763381958
45,2023-07-31,BUY,CSCO,310,49.74716567993164,43.465402603149414
46,2023-08-31,SELL,TSLA,45,256.8999938964844,11603.965127944946
47,2023-08-31,BUY,CSCO,213,54.254878997802734,47.67590141296387
48,2023-09-29,SELL,TSLA,6,246.3800048828125,1525.9559307098389
49,2023-09-29,BUY,CSCO,29,51.456668853759766,33.712533950805664
