,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-31,BUY,AAPL,2282,78.49657440185547,820870.8172149658
1,2020-01-31,BUY,AMZN,8115,93.53399658203125,61842.43495178223
2,2020-01-31,BUY,TSLA,1446,42.72066879272461,68.3478775024414
3,2020-02-28,SELL,AAPL,2282,66.45053100585938,151708.45963287354
4,2020-02-28,SELL,AMZN,7518,94.21499633789062,860016.8021011353
5,2020-02-28,SELL,TSLA,1446,45.266666412353516,925472.4017333984
6,2020-03-31,BUY,AAPL,4652,61.905033111572266,637490.1876983643
7,2020-03-31,BUY,AMZN,6491,98.19750213623047,90.20133209228516
8,2020-04-30,SELL,AMZN,3785,118.635498046875,449125.56143951416
9,2020-04-30,BUY,AAPL,6424,69.90281677246094,69.86649322509766
10,2020-05-29,SELL,AMZN,1732,120.05500030517578,208005.12702178955
11,2020-05-29,BUY,AAPL,2683,77.52681732177734,0.6761474609375
12,2020-06-30,SELL,AMZN,1570,134.0189971923828,210410.50173950195
13,2020-06-30,BUY,AAPL,2387,88.13086700439453,42.12220001220703
14,2020-07-31,SELL,AMZN,1,152.593994140625,194.71619415283203
15,2020-07-31,BUY,AAPL,2,93.7288818359375,7.258430480957031
16,2021-02-26,SELL,AAPL,7250,118.48747253417969,859041.4343032837
17,2021-02-26,BUY,AMZN,5619,152.85800170898438,132.32270050048828
18,2021-03-31,SELL,AAPL,8898,117.42001342773438,1044935.602180481
19,2021-03-31,BUY,AMZN,6840,152.76449584960938,26.45056915283203
20,2021-07-30,SELL,AMZN,2321,179.99600219726562,417797.17166900635
21,2021-07-30,BUY,AAPL,2924,142.869873046875,45.662879943847656
22,2021-08-31,SELL,AAPL,2262,150.43264770507812,340324.31198883057
23,2021-08-31,BUY,AMZN,1989,171.07850646972656,49.162620544433594
24,2021-09-30,SELL,AAPL,559,140.32322692871094,78489.84647369385
25,2021-09-30,BUY,AMZN,475,165.05599975585938,88.24658966064453
26,2021-10-29,SELL,AMZN,294,172.32850646972656,50752.827491760254
27,2021-10-29,BUY,AAPL,338,149.89230346679688,89.22891998291016
28,2021-12-31,SELL,AAPL,440,175.32798767089844,77233.54349517822
29,2021-12-31,BUY,AMZN,457,168.64450073242188,163.00666046142578
30,2022-01-22,SELL,AMZN,12765,142.64300537109375,1821000.9702224731
31,2022-01-31,BUY,AAPL,1350,167.5848388671875,1594761.43775177
32,2022-01-31,BUY,AMZN,11075,143.97799682617188,205.1229019165039
33,2022-02-28,SELL,AMZN,1228,153.7884979248047,189057.39835357666
34,2022-02-28,BUY,AAPL,1164,162.39981079101562,24.018592834472656
35,2022-03-31,SELL,AMZN,1165,166.30099487304688,193764.67761993408
36,2022-03-31,BUY,AAPL,1106,175.12777709960938,73.35614776611328
37,2022-04-29,SELL,AMZN,376,144.59649658203125,54441.63886260986
38,2022-04-29,BUY,AAPL,337,161.20779418945312,114.61222076416016
39,2022-05-06,SELL,AMZN,8306,116.40699768066406,966991.1349563599
40,2022-05-20,SELL,AAPL,3958,135.5073699951172,1503329.3053970337
41,2022-05-31,BUY,AAPL,6522,147.63247680664062,540470.2916641235
42,2022-05-31,BUY,AMZN,4693,115.14649963378906,87.76888275146484
43,2022-06-30,SELL,AMZN,2543,108.91999816894531,277071.3242263794
44,2022-06-30,BUY,AAPL,2017,137.36212158203125,11.924995422363281
45,2022-07-29,SELL,AMZN,1236,122.27999877929688,151150.0034866333
46,2022-07-29,BUY,AAPL,973,155.23902893066406,102.42833709716797
47,2022-08-31,SELL,AMZN,23,128.72999572753906,3063.2182388305664
48,2022-08-31,BUY,AAPL,19,156.9958953857422,80.29622650146484
