,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-31,BUY,AMZN,8886,93.53399658203125,168856.9063720703
1,2020-01-31,BUY,META,55,208.73265075683594,157376.61058044434
2,2020-01-31,BUY,TSLA,3683,42.72066879272461,36.38741683959961
3,2020-02-28,SELL,AMZN,2200,94.21499633789062,207309.37936019897
4,2020-02-28,SELL,TSLA,3683,45.266666412353516,374026.511756897
5,2020-02-28,BUY,META,1978,189.02793884277344,129.24872589111328
6,2020-03-10,SELL,META,2033,168.85498046875,343411.42401885986
7,2020-03-13,SELL,AMZN,6686,83.83049774169922,903902.1319198608
8,2020-03-31,BUY,AMZN,9204,98.19750213623047,92.32225799560547
9,2020-04-30,SELL,AMZN,3993,118.635498046875,473803.8659591675
10,2020-04-30,BUY,META,327,193.45103454589844,410545.3776626587
11,2020-04-30,BUY,TSLA,7691,53.367332458496094,97.22372436523438
12,2020-05-02,SELL,TSLA,7691,46.75466537475586,359687.35512161255
13,2020-05-29,SELL,AMZN,3598,120.05500030517578,791645.246219635
14,2020-05-29,SELL,META,326,224.60205078125,864865.5147743225
15,2020-05-29,BUY,TSLA,16099,53.72066879272461,16.467880249023438
16,2020-06-30,SELL,AMZN,1613,134.0189971923828,216189.1103515625
17,2020-06-30,BUY,TSLA,3212,67.29000091552734,53.627410888671875
18,2020-07-31,SELL,TSLA,19311,99.16600036621094,1915048.260482788
19,2020-07-31,BUY,MSFT,9765,196.10472106933594,85.65924072265625
20,2020-12-31,SELL,META,1,270.83544921875,356.49468994140625
21,2020-12-31,BUY,MSFT,1,214.2799072265625,142.21478271484375
22,2021-02-26,SELL,MSFT,5587,221.85568237304688,1239649.9122009277
23,2021-02-26,BUY,AMZN,8109,152.85800170898438,124.3763427734375
24,2021-03-31,SELL,MSFT,2928,224.62657165527344,657830.9781494141
25,2021-03-31,BUY,AMZN,4306,152.76449584960938,27.05902099609375
26,2021-04-30,SELL,MSFT,1250,244.6428985595703,305830.682220459
27,2021-04-30,BUY,AMZN,1762,173.5655059814453,8.26068115234375
28,2021-05-31,SELL,MSFT,1,242.4595947265625,250.72027587890625
29,2021-05-31,BUY,AMZN,1,161.15350341796875,89.5667724609375
30,2022-01-22,SELL,AMZN,14178,142.64300537109375,2022482.0969238281
31,2022-01-31,BUY,AMZN,14047,143.97799682617188,23.175506591796875
32,2022-02-28,SELL,AMZN,108,153.7884979248047,16632.333282470703
33,2022-02-28,BUY,TSLA,61,269.9566650390625,164.97671508789062
34,2022-03-31,SELL,AMZN,844,166.30099487304688,140523.01638793945
35,2022-03-31,SELL,TSLA,60,364.663330078125,162402.81619262695
36,2022-03-31,BUY,MSFT,529,306.5583190917969,233.46539306640625
37,2022-04-13,SELL,MSFT,529,275.4981384277344,145971.9806213379
38,2022-04-29,BUY,AMZN,439,144.59649658203125,82494.11862182617
39,2022-04-29,BUY,TSLA,281,292.5033264160156,300.68389892578125
40,2022-04-30,SELL,AMZN,13534,124.28150177001953,1682326.5288543701
41,2022-05-10,SELL,TSLA,282,262.3699951171875,1756314.867477417
42,2022-05-31,BUY,AMZN,10348,115.14649963378906,564778.8892669678
43,2022-05-31,BUY,MSFT,2111,267.50494384765625,75.95280456542969
44,2022-06-14,SELL,MSFT,2111,237.17518615722656,500752.7707824707
45,2022-06-15,SELL,AMZN,10348,102.30999755859375,1559456.6255187988
46,2022-06-30,BUY,AMZN,7589,108.91999816894531,732862.7594146729
47,2022-06-30,BUY,MSFT,2876,254.7974090576172,65.41096496582031
48,2022-07-29,SELL,MSFT,459,270.6083984375,124274.66584777832
49,2022-07-29,BUY,AMZN,1016,122.27999877929688,38.18708801269531
50,2022-08-31,SELL,MSFT,854,257.9969787597656,220367.60694885254
51,2022-08-31,BUY,AMZN,1711,128.72999572753906,110.58425903320312
52,2022-09-24,SELL,AMZN,10316,113.77999877929688,1173865.0516662598
53,2022-09-30,SELL,MSFT,1562,233.00863647460938,1537824.5418395996
54,2022-09-30,BUY,AMZN,13395,114.80000305175781,78.50096130371094
55,2022-10-01,SELL,MSFT,1,228.49563598632812,306.99659729003906
56,2022-10-31,BUY,AMZN,2,103.41000366210938,100.17658996582031
57,2022-11-03,SELL,AMZN,13397,92.12000274658203,1234231.8533859253
58,2022-11-30,BUY,AMZN,13354,92.41999816894531,55.197837829589844
59,2022-12-28,SELL,AMZN,13354,83.04000091552734,1108971.3700637817
60,2022-12-30,BUY,AMZN,8111,84.18000030517578,426187.387588501
61,2022-12-30,BUY,MSFT,1797,237.11859130859375,85.27900695800781
62,2023-01-31,SELL,AMZN,3925,100.55000305175781,394744.0409851074
63,2023-01-31,BUY,MSFT,1653,238.79116821289062,22.23992919921875
64,2023-02-28,SELL,AMZN,32,93.76000213623047,3022.5599975585938
65,2023-02-28,BUY,MSFT,12,246.73736572265625,61.71160888671875
66,2023-03-31,SELL,MSFT,575,280.16363525390625,161155.8018798828
67,2023-03-31,BUY,AMZN,1579,102.0,97.8018798828125
68,2023-04-28,SELL,MSFT,1180,300.6593322753906,354875.81396484375
69,2023-04-28,BUY,AMZN,3231,109.81999969482422,47.39495086669922
70,2023-05-31,SELL,MSFT,860,327.39251708984375,281604.9596481323
71,2023-05-31,BUY,AMZN,2314,121.66000366210938,83.71117401123047
72,2023-06-30,SELL,MSFT,763,331.18829345703125,252780.37908172607
73,2023-06-30,BUY,AMZN,1976,127.9000015258789,49.97606658935547
74,2023-07-31,SELL,MSFT,84,334.47003173828125,28145.45873260498
75,2023-07-31,BUY,AMZN,212,132.2100067138672,116.93730926513672
76,2024-02-29,SELL,AMZN,2105,173.16000366210938,364618.7450180054
77,2024-02-29,BUY,TSLA,1804,202.0399932861328,138.59712982177734
78,2024-03-06,SELL,TSLA,1804,180.74000549316406,326193.56703948975
79,2024-03-29,SELL,AMZN,1715,180.3800048828125,635545.2754135132
80,2024-03-29,BUY,TSLA,3615,175.7899932861328,64.4496841430664
81,2024-04-17,SELL,TSLA,3615,157.11000061035156,568017.101890564
82,2024-04-30,SELL,AMZN,1033,180.9600067138672,754948.7888259888
83,2024-04-30,BUY,TSLA,3890,194.0500030517578,94.2769546508789
84,2024-05-10,SELL,TSLA,3890,171.97000122070312,669057.581703186
85,2024-05-31,SELL,AMZN,640,179.32000732421875,783822.386390686
86,2024-05-31,BUY,TSLA,4384,178.7899932861328,7.055824279785156
87,2024-06-28,SELL,AMZN,64,197.85000610351562,12669.456214904785
88,2024-06-28,BUY,TSLA,64,197.4199981689453,34.576332092285156
89,2024-07-31,SELL,TSLA,387,222.6199951171875,86188.51444244385
90,2024-07-31,BUY,AMZN,474,181.7100067138672,57.97126007080078
91,2024-08-06,SELL,AMZN,8383,161.02000427246094,1349888.6670761108
92,2024-08-30,SELL,TSLA,206,206.27999877929688,1392382.346824646
93,2024-08-30,BUY,AMZN,8089,172.1199951171875,103.7063217163086
94,2024-09-30,SELL,TSLA,555,260.4599914550781,144659.00157928467
95,2024-09-30,BUY,AMZN,769,187.97000122070312,110.07064056396484
96,2024-10-31,SELL,TSLA,854,257.54998779296875,220057.76021575928
97,2024-10-31,BUY,AMZN,1141,192.72999572753906,152.83509063720703
98,2024-11-29,SELL,TSLA,2221,332.8900146484375,739501.5576248169
99,2024-11-29,BUY,AMZN,3594,205.74000549316406,71.9778823852539
100,2024-12-31,SELL,AMZN,6184,221.3000030517578,1368591.1967544556
101,2024-12-31,SELL,TSLA,224,417.4100036621094,1462091.037574768
102,2024-12-31,BUY,MSFT,3441,424.8299865722656,251.05377960205078
103,2025-01-01,SELL,AMZN,196,219.38999938964844,43251.493659973145
104,2025-01-01,BUY,MSFT,102,421.5,258.49365997314453
