,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-31,BUY,AAPL,3445,78.49657440185547,729579.3011856079
1,2020-01-31,BUY,AMZN,7799,93.53399658203125,107.6618423461914
2,2020-02-26,SELL,AAPL,3445,69.98783874511719,241215.7663192749
3,2020-02-28,SELL,AMZN,7205,94.21499633789062,920034.8149337769
4,2020-02-28,BUY,AAPL,13845,66.45054626464844,27.00189971923828
5,2020-03-13,SELL,AMZN,594,83.83049774169922,49822.317558288574
6,2020-03-17,SELL,AAPL,13845,58.84391403198242,864516.3073310852
7,2020-03-31,BUY,AAPL,4087,61.905025482177734,611510.4681854248
8,2020-03-31,BUY,AMZN,6227,98.19750213623047,34.62238311767578
9,2020-04-30,SELL,AMZN,3326,118.635498046875,394616.2888870239
10,2020-04-30,BUY,AAPL,5645,69.90279388427734,15.017410278320312
11,2020-05-29,SELL,AMZN,1521,120.05500030517578,182618.67287445068
12,2020-05-29,BUY,AAPL,2355,77.52682495117188,43.00011444091797
13,2020-06-30,SELL,AMZN,1379,134.0189971923828,184855.19724273682
14,2020-06-30,BUY,AAPL,2097,88.13086700439453,44.769134521484375
15,2020-07-31,BUY,AAPL,0,93.72889709472656,44.769134521484375
16,2020-08-31,SELL,AMZN,1,170.08999633789062,214.859130859375
17,2020-08-31,BUY,AAPL,1,121.83343505859375,93.02569580078125
18,2020-09-12,SELL,AAPL,14185,109.33114624023438,1550955.3351135254
19,2020-09-30,BUY,AAPL,13925,111.371337890625,109.45498657226562
20,2020-12-31,SELL,AAPL,1932,130.75877380371094,252735.4059753418
21,2020-12-31,BUY,MSFT,1179,214.27987670898438,99.43133544921875
22,2021-01-29,SELL,AAPL,9400,134.05413818359375,1260208.3302612305
23,2021-01-29,BUY,MSFT,5456,230.9540557861328,123.00189208984375
24,2021-02-26,SELL,MSFT,5649,221.85568237304688,1253385.7516174316
25,2021-02-26,BUY,AAPL,4864,118.48746490478516,677062.7223205566
26,2021-02-26,BUY,AMZN,4429,152.85800170898438,54.63275146484375
27,2021-03-31,SELL,AAPL,7456,117.4200210571289,875538.309753418
