,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-03,BUY,AAPL,2289,72.79602813720703,833369.8915939331
1,2020-01-03,BUY,AMZN,1756,94.90049743652344,666724.618095398
2,2020-01-03,BUY,CSCO,4020,41.455711364746094,500072.65840911865
3,2020-01-03,BUY,MSFT,1084,153.6306610107422,333537.0218734741
4,2020-01-03,BUY,TSLA,5810,28.68400001525879,166882.98178482056
5,2020-01-04,SELL,AAPL,2289,72.08829498291016,331893.0890007019
6,2020-01-04,SELL,AMZN,1756,93.74849700927734,496515.4497489929
7,2020-01-04,SELL,CSCO,4020,40.77933120727539,660448.36120224
8,2020-01-04,SELL,MSFT,1084,151.71774291992188,824910.3945274353
9,2020-01-04,BUY,TSLA,22030,29.534000396728516,174276.3657875061
10,2020-01-07,SELL,TSLA,16164,30.1026668548584,660855.8728294373
11,2020-01-07,BUY,CSCO,16148,40.92488098144531,0.8947410583496094
12,2020-01-08,SELL,TSLA,3625,31.270666122436523,113357.05943489075
13,2020-01-08,BUY,CSCO,2787,40.65946960449219,39.11764717102051
14,2020-01-09,SELL,TSLA,3154,32.80933380126953,103519.75645637512
15,2020-01-09,BUY,CSCO,2544,40.68515396118164,16.72477912902832
16,2020-01-10,SELL,CSCO,230,40.513916015625,9334.925462722778
17,2020-01-10,BUY,TSLA,290,32.089332580566406,29.019014358520508
18,2020-01-11,SELL,CSCO,817,40.351253509521484,32995.99313163757
19,2020-01-11,SELL,TSLA,328,31.876667022705078,43451.53991508484
20,2020-01-11,BUY,AAPL,577,75.2148666381836,52.56186485290527
21,2020-01-14,SELL,AAPL,577,76.82179260253906,44378.736196517944
22,2020-01-14,SELL,CSCO,1599,41.07042694091797,110050.34887504578
23,2020-01-14,SELL,TSLA,2846,34.990665435791016,209633.782705307
24,2020-01-14,BUY,AMZN,2216,94.56500244140625,77.73729515075684
25,2020-01-15,SELL,CSCO,650,40.91632080078125,26673.34581565857
26,2020-01-15,SELL,TSLA,369,35.861331939697266,39906.17730140686
27,2020-01-15,BUY,AAPL,57,75.7844467163086,35586.46383857727
28,2020-01-15,BUY,AMZN,380,93.47200012207031,67.10379219055176
29,2020-01-16,SELL,CSCO,139,41.104671478271484,5780.653127670288
30,2020-01-16,SELL,TSLA,32,34.56666564941406,6886.786428451538
31,2020-01-16,BUY,AAPL,41,75.45966339111328,3792.9402294158936
32,2020-01-16,BUY,AMZN,40,93.10099792480469,68.90031242370605
33,2020-01-17,SELL,AAPL,98,76.40489959716797,7556.580472946167
34,2020-01-17,SELL,CSCO,3781,41.995086669921875,166340.00317192078
35,2020-01-17,BUY,AMZN,1615,93.89700317382812,14696.343046188354
36,2020-01-17,BUY,TSLA,427,34.232666015625,78.99465751647949
37,2020-01-18,SELL,CSCO,1174,41.96940231323242,49351.07297325134
38,2020-01-18,BUY,AMZN,479,93.23600006103516,4691.028944015503
39,2020-01-18,BUY,TSLA,136,34.03333282470703,62.49567985534668
40,2020-01-22,SELL,AMZN,89,94.5999984741211,8481.895544052124
41,2020-01-22,SELL,TSLA,1214,36.47999954223633,52768.61498832703
42,2020-01-22,BUY,CSCO,1262,41.78104782104492,40.93263816833496
43,2020-01-23,SELL,TSLA,960,37.97066879272461,36492.77467918396
44,2020-01-23,BUY,AAPL,30,77.00115203857422,34182.74011802673
45,2020-01-23,BUY,AMZN,226,94.37300109863281,12854.441869735718
46,2020-01-23,BUY,CSCO,36,42.01221466064453,11342.002141952515
47,2020-01-24,SELL,AAPL,7,77.3719711303711,11883.605939865112
48,2020-01-24,SELL,CSCO,88,41.95227813720703,15575.406415939331
49,2020-01-24,SELL,TSLA,1,38.14666748046875,15613.5530834198
50,2020-01-24,BUY,AMZN,165,94.22899627685547,65.76869773864746
51,2020-01-25,SELL,AAPL,21,77.14900207519531,1685.897741317749
52,2020-01-25,SELL,AMZN,175,93.08200073242188,17975.247869491577
53,2020-01-25,BUY,CSCO,412,41.8238639831543,743.8159084320068
54,2020-01-28,SELL,AAPL,1,74.88040924072266,818.6963176727295
55,2020-01-28,SELL,AMZN,1577,91.41699981689453,144983.3050289154
56,2020-01-28,BUY,CSCO,3484,40.6423454284668,3385.373556137085
57,2020-01-28,BUY,TSLA,61,37.201332092285156,1116.0922985076904
58,2020-01-29,SELL,CSCO,497,40.89918899536133,21442.98922920227
59,2020-01-29,BUY,AMZN,50,92.6624984741211,16809.864305496216
60,2020-01-29,BUY,TSLA,278,37.793331146240234,6303.318246841431
61,2020-01-30,SELL,CSCO,2276,40.282752990722656,97986.8640537262
62,2020-01-30,BUY,AMZN,555,92.9000015258789,46427.3632068634
63,2020-01-30,BUY,TSLA,1078,38.732666015625,4673.549242019653
64,2020-01-31,SELL,AAPL,1,78.4965591430664,4752.04580116272
