,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-31,BUY,AMZN,8886,93.53399658203125,168856.9063720703
1,2020-01-31,BUY,META,55,208.732666015625,157376.60974121094
2,2020-01-31,BUY,TSLA,3683,42.72066879272461,36.38657760620117
3,2020-02-28,SELL,AMZN,2200,94.21499633789062,207309.37852096558
4,2020-02-28,SELL,TSLA,3682,45.266666412353516,373981.2442512512
5,2020-02-28,BUY,META,1978,189.0279083251953,84.04158401489258
6,2020-03-10,SELL,META,2033,168.85499572753906,343366.2478981018
7,2020-03-13,SELL,AMZN,6686,83.83049774169922,903856.9557991028
8,2020-03-13,SELL,TSLA,1,37.369998931884766,903894.3257980347
9,2020-03-31,BUY,AMZN,9204,98.19750213623047,84.5161361694336
10,2020-04-30,SELL,AMZN,3993,118.635498046875,473796.0598373413
11,2020-04-30,BUY,META,327,193.45101928710938,410537.57653045654
12,2020-04-30,BUY,TSLA,7691,53.367332458496094,89.42259216308594
13,2020-05-02,SELL,TSLA,7691,46.75466537475586,359679.5539894104
14,2020-05-29,SELL,AMZN,3598,120.05500030517578,791637.4450874329
15,2020-05-29,SELL,META,326,224.60203552246094,864857.7086677551
16,2020-05-29,BUY,TSLA,16099,53.72066879272461,8.661773681640625
17,2020-06-30,SELL,AMZN,1612,134.0189971923828,216047.28524780273
18,2020-06-30,SELL,META,1,219.8003692626953,216267.08561706543
19,2020-06-30,BUY,TSLA,3213,67.29000091552734,64.31267547607422
20,2020-07-31,SELL,AMZN,1,152.593994140625,216.90666961669922
21,2020-07-31,SELL,TSLA,19312,99.16600036621094,1915310.7057418823
22,2020-07-31,BUY,MSFT,9766,196.104736328125,151.85076141357422
23,2021-02-26,SELL,MSFT,5587,221.8556365966797,1239659.292427063
24,2021-02-26,BUY,AMZN,8109,152.85800170898438,133.7565689086914
25,2021-03-31,SELL,MSFT,2928,224.6265411376953,657840.2690200806
26,2021-03-31,BUY,AMZN,4306,152.76449584960938,36.349891662597656
27,2021-04-30,SELL,MSFT,1250,244.6428985595703,305839.9730911255
28,2021-04-30,BUY,AMZN,1762,173.5655059814453,17.551551818847656
29,2021-05-31,SELL,MSFT,1,242.4596405029297,260.01119232177734
30,2021-05-31,BUY,AMZN,1,161.15350341796875,98.8576889038086
31,2022-01-22,SELL,AMZN,14178,142.64300537109375,2022491.387840271
32,2022-01-31,BUY,AMZN,14047,143.97799682617188,32.46642303466797
33,2022-02-28,SELL,AMZN,108,153.7884979248047,16641.624198913574
34,2022-02-28,BUY,TSLA,61,269.9566650390625,174.26763153076172
35,2022-03-31,SELL,AMZN,844,166.30099487304688,140532.30730438232
36,2022-03-31,SELL,TSLA,61,364.663330078125,162776.77043914795
37,2022-03-31,BUY,MSFT,530,306.558349609375,300.8451461791992
38,2022-04-13,SELL,MSFT,530,275.4981994628906,146314.89086151123
39,2022-04-29,BUY,AMZN,439,144.59649658203125,82837.02886199951
40,2022-04-29,BUY,TSLA,282,292.5033264160156,351.09081268310547
41,2022-04-30,SELL,AMZN,13534,124.28150177001953,1682376.9357681274
42,2022-05-10,SELL,TSLA,282,262.3699951171875,1756365.2743911743
43,2022-05-31,BUY,AMZN,10348,115.14649963378906,564829.2961807251
44,2022-05-31,BUY,MSFT,2111,267.5049133300781,126.42414093017578
45,2022-06-14,SELL,MSFT,2111,237.17520141601562,500803.27433013916
46,2022-06-15,SELL,AMZN,10348,102.30999755859375,1559507.1290664673
47,2022-06-30,BUY,AMZN,7589,108.91999816894531,732913.2629623413
48,2022-06-30,BUY,MSFT,2876,254.79737854003906,116.00228118896484
49,2022-07-29,SELL,MSFT,459,270.6084289550781,124325.27117156982
50,2022-07-29,BUY,AMZN,1016,122.27999877929688,88.79241180419922
51,2022-08-31,SELL,MSFT,854,257.9969787597656,220418.21227264404
52,2022-08-31,BUY,AMZN,1712,128.72999572753906,32.45958709716797
53,2022-09-24,SELL,AMZN,10317,113.77999877929688,1173900.706993103
54,2022-09-30,SELL,MSFT,1563,233.0086212158203,1538093.1819534302
55,2022-09-30,BUY,AMZN,13398,114.80000305175781,2.7410659790039062
56,2022-11-01,SELL,AMZN,13398,102.44000244140625,1372493.89377594
57,2022-11-30,BUY,AMZN,14850,92.41999816894531,56.92096710205078
58,2022-12-28,SELL,AMZN,14850,83.04000091552734,1233200.934562683
59,2022-12-30,BUY,AMZN,9019,84.18000030517578,473981.51181030273
60,2022-12-30,BUY,MSFT,1998,237.1186065673828,218.535888671875
61,2023-01-31,SELL,AMZN,4365,100.55000305175781,439119.2992095947
62,2023-01-31,BUY,MSFT,1838,238.79116821289062,221.1320343017578
63,2023-02-28,SELL,AMZN,34,93.76000213623047,3408.9721069335938
64,2023-02-28,BUY,MSFT,13,246.73733520507812,201.38674926757812
65,2023-03-31,SELL,MSFT,638,280.16363525390625,178945.78604125977
66,2023-03-31,BUY,AMZN,1754,102.0,37.786041259765625
67,2023-04-28,SELL,MSFT,1312,300.6593322753906,394502.82998657227
68,2023-04-28,BUY,AMZN,3592,109.81999969482422,29.391082763671875
69,2023-05-31,SELL,MSFT,957,327.39251708984375,313344.02993774414
70,2023-05-31,BUY,AMZN,2575,121.66000366210938,69.5205078125
71,2023-06-30,SELL,MSFT,849,331.18829345703125,281248.38165283203
72,2023-06-30,BUY,AMZN,2198,127.9000015258789,124.17829895019531
73,2023-07-31,SELL,MSFT,92,334.47003173828125,30895.42121887207
74,2023-07-31,BUY,AMZN,233,132.2100067138672,90.48965454101562
75,2023-08-31,BUY,AMZN,0,135.07000732421875,90.48965454101562
76,2023-09-29,BUY,AMZN,0,125.9800033569336,90.48965454101562
77,2023-10-31,SELL,MSFT,1,334.128173828125,424.6178283691406
78,2023-10-31,BUY,AMZN,3,132.7100067138672,26.487808227539062
79,2024-02-29,SELL,AMZN,2341,173.16000366210938,405394.0563812256
80,2024-02-29,BUY,TSLA,2006,202.0399932861328,101.82984924316406
81,2024-03-06,SELL,TSLA,2006,180.74000549316406,362666.2808685303
82,2024-03-29,SELL,AMZN,1908,180.3800048828125,706831.3301849365
83,2024-03-29,BUY,TSLA,4020,175.7899932861328,155.5571746826172
84,2024-04-17,SELL,TSLA,4020,157.11000061035156,631737.7596282959
85,2024-04-30,SELL,AMZN,1148,180.9600067138672,839479.8473358154
86,2024-04-30,BUY,TSLA,4326,194.0500030517578,19.534133911132812
87,2024-05-10,SELL,TSLA,4326,171.97000122070312,743961.7594146729
88,2024-05-31,SELL,AMZN,712,179.32000732421875,871637.6046295166
89,2024-05-31,BUY,TSLA,4875,178.7899932861328,36.387359619140625
90,2024-06-28,SELL,AMZN,71,197.85000610351562,14083.73779296875
91,2024-06-28,BUY,TSLA,71,197.4199981689453,66.91792297363281
92,2024-07-31,SELL,TSLA,430,222.6199951171875,95793.51582336426
93,2024-07-31,BUY,AMZN,527,181.7100067138672,32.34228515625
94,2024-08-06,SELL,AMZN,9322,161.02000427246094,1501060.822113037
95,2024-08-30,SELL,TSLA,229,206.27999877929688,1548298.941833496
96,2024-08-30,BUY,AMZN,8995,172.1199951171875,79.58575439453125
97,2024-09-30,SELL,TSLA,617,260.4599914550781,160783.40048217773
98,2024-09-30,BUY,AMZN,855,187.97000122070312,69.0494384765625
99,2024-10-31,SELL,TSLA,950,257.54998779296875,244741.53784179688
100,2024-10-31,BUY,AMZN,1269,192.72999572753906,167.1732635498047
101,2024-11-29,SELL,TSLA,2470,332.8900146484375,822405.5094451904
102,2024-11-29,BUY,AMZN,3997,205.74000549316406,62.707489013671875
103,2024-12-31,SELL,AMZN,6878,221.3000030517578,1522164.128479004
104,2024-12-31,SELL,TSLA,250,417.4100036621094,1626516.6293945312
105,2024-12-31,BUY,MSFT,3828,424.8299865722656,267.4407958984375
