,Date,Action,Ticker,Quantity,Price,Cash
0,2020-01-31,BUY,AAPL,3445,78.49657440185547,729579.3011856079
1,2020-01-31,BUY,AMZN,7799,93.53399658203125,107.6618423461914
2,2020-02-26,SELL,AAPL,3445,69.98785400390625,241215.81888580322
3,2020-02-28,SELL,AMZN,7205,94.21499633789062,920034.8675003052
4,2020-02-28,BUY,AAPL,13845,66.45054626464844,27.054466247558594
5,2020-03-13,SELL,AMZN,594,83.83049774169922,49822.370124816895
6,2020-03-17,SELL,AAPL,13845,58.84391784667969,864516.4127120972
7,2020-03-31,BUY,AAPL,4087,61.905025482177734,611510.5735664368
8,2020-03-31,BUY,AMZN,6227,98.19750213623047,34.72776412963867
9,2020-04-30,SELL,AMZN,3326,118.635498046875,394616.3942680359
10,2020-04-30,BUY,AAPL,5645,69.90282440185547,14.950519561767578
11,2020-05-29,SELL,AMZN,1521,120.05500030517578,182618.60598373413
12,2020-05-29,BUY,AAPL,2355,77.52680206298828,42.987125396728516
13,2020-06-30,SELL,AMZN,1379,134.0189971923828,184855.18425369263
14,2020-06-30,BUY,AAPL,2097,88.1308822631836,44.72414779663086
15,2020-07-31,BUY,AAPL,0,93.72888946533203,44.72414779663086
16,2020-08-31,BUY,AAPL,0,121.83343505859375,44.72414779663086
17,2020-09-12,SELL,AAPL,14184,109.33113098144531,1550797.485988617
18,2020-09-30,BUY,AAPL,13924,111.371337890625,62.97719955444336
19,2020-10-30,SELL,AMZN,1,160.55050659179688,223.52770614624023
20,2020-10-30,BUY,AAPL,1,112.57203674316406,110.95566940307617
21,2020-12-31,SELL,AAPL,1932,130.7587432861328,252736.84769821167
22,2020-12-31,BUY,MSFT,1179,214.2798614501953,100.89104843139648
23,2021-01-29,SELL,AAPL,9400,134.0541229248047,1260209.6465415955
24,2021-01-29,BUY,MSFT,5456,230.95407104492188,124.23492050170898
25,2021-02-26,SELL,MSFT,5649,221.8556671142578,1253386.898448944
26,2021-02-26,BUY,AAPL,4864,118.48746490478516,677063.8691520691
27,2021-02-26,BUY,AMZN,4429,152.85800170898438,55.77958297729492
